Variation ID	Chromosome	Region Start	Region End	Feature Type Class	Feature Type	Epigenome
rs2269239	chr1	64108780	64109600	Histone	H3K36me3	H1-mesenchymal
rs2269239	chr1	64108800	64109820	Histone	H3K4me1	Gastric
rs2269239	chr1	64108840	64110100	Histone	H3K4me1	esophagus
rs2269239	chr1	64108860	64111060	Histone	H3K36me3	Monocytes-CD14+ (PB) Roadmap
rs2269239	chr1	64108880	64109660	Histone	H3K4me1	Right Atrium
rs2269239	chr1	64108900	64110160	Histone	H3K4me1	Fetal Muscle Trunk
rs2269239	chr1	64108920	64109420	Histone	H3K36me3	Fetal Muscle Trunk
rs2269239	chr1	64108920	64109940	Histone	H3K4me1	Spleen
rs2269239	chr1	64108920	64110040	Histone	H3K36me3	sigmoid colon
rs2269239	chr1	64109013	64110070	Histone	H3K27ac	Right Atrium
rs2269239	chr1	64109044	64110061	Histone	H3K27ac	Aorta
rs2269239	chr1	64109080	64109480	Histone	H3K4me1	Small Intestine
rs2269239	chr1	64109080	64109560	Histone	H3K36me3	H1-trophoblast
rs2269239	chr1	64109080	64110080	Histone	H3K4me1	H1-mesenchymal
rs2269239	chr1	64109080	64109500	Histone	H3K4me1	Left Ventricle
rs2269239	chr1	64109120	64109900	Histone	H3K4me1	iPS DF 19.11
rs2269239	chr1	64109140	64110120	Histone	H3K4me1	IMR 90
rs2269239	chr1	64109180	64109400	Histone	H3K36me3	Left Ventricle
rs2269239	chr1	64109180	64109440	Histone	H3K4me1	heart right ventricle
rs2269239	chr1	64109210	64109405	Histone	H3K4me3	Small Intestine
rs2269239	chr1	64109210	64109372	Histone	H3K4me3	sigmoid colon
rs2269239	chr1	64109220	64109420	Histone	H2BK12ac	H1-trophoblast
rs2269239	chr1	64109227	64109975	Histone	H3K27ac	heart right ventricle
rs2269239	chr1	64109260	64109520	Histone	H3K36me3	Pancreas
rs2269239	chr1	64109280	64109480	Histone	H3K79me1	IMR 90
rs2269239	chr1	64109280	64109460	Histone	H3K36me3	HUES48
rs2269239	chr1	64109300	64109520	Histone	H4K20me1	IMR 90
rs2269239	chr1	64109320	64109560	Histone	H3K9me1	IMR 90
rs2269239	chr1	64109320	64109640	Histone	H3K36me3	lung ENCSR465WKM
rs2269239	chr1	64109320	64110640	Histone	H3K4me1	endodermal cell
rs2269239	chr1	64109340	64109500	Histone	H3K36me3	Ovary
rs3790857	chr1	64108520	64112220	Histone	H3K4me1	lung ENCSR465WKM
rs3790857	chr1	64109980	64112900	Histone	H3K36me3	endodermal cell
rs3790857	chr1	64110260	64112820	Histone	H3K36me3	common myeloid progenitor CD34 positive ENCSR337XXD 1
rs3790857	chr1	64110580	64112200	Histone	H3K4me1	Fetal Muscle Leg
rs3790857	chr1	64111020	64112460	Histone	H3K36me3	common myeloid progenitor CD34 positive ENCSR722JRY
rs3790857	chr1	64111300	64112240	Histone	H3K9me3	neural stem progenitor cell
rs3790857	chr1	64111320	64112440	Histone	H3K36me3	neutrophil
rs3790857	chr1	64111360	64111920	Histone	H3K36me3	common myeloid progenitor CD34 positive
rs3790857	chr1	64111400	64112080	Histone	H3K36me3	HUES6
rs3790857	chr1	64111456	64111930	Histone	H3K27ac	Fetal Stomach
rs3790857	chr1	64111500	64111880	Histone	H3K36me3	lung ENCSR465WKM
rs3790857	chr1	64111500	64112020	Histone	H3K36me3	IMR 90
rs3790857	chr1	64111512	64111894	Histone	H3K27ac	Pancreas
rs3790857	chr1	64111520	64111960	Histone	H3K4me1	Pancreas
rs3790857	chr1	64111532	64111919	Histone	H3K27ac	Aorta
rs3790857	chr1	64111580	64111940	Histone	H3K36me3	Fetal Intestine Large
rs3790857	chr1	64111580	64112040	Histone	H3K9me3	Fetal Muscle Leg
rs3790857	chr1	64111660	64111980	Histone	H3K4me1	heart right ventricle
rs3790857	chr1	64111728	64111908	Histone	H3K27ac	Ovary
rs3790857	chr1	64111740	64112220	Histone	H3K36me3	Natural Killer cells (PB)
rs2269238	chr1	64113200	64124080	Histone	H3K36me3	Monocytes-CD14+ (PB) Roadmap
rs2269238	chr1	64113200	64120480	Histone	H3K36me3	endodermal cell
rs2269238	chr1	64113220	64120500	Histone	H3K36me3	common myeloid progenitor CD34 positive ENCSR337XXD 1
rs2269238	chr1	64113420	64121680	Histone	H3K36me3	Natural Killer cells (PB)
rs2269238	chr1	64113620	64122120	Histone	H3K36me3	Fetal Intestine Large
rs2269238	chr1	64113800	64122020	Histone	H3K36me3	neutrophil
rs2269238	chr1	64114940	64122720	Histone	H3K36me3	Placenta
rs2269238	chr1	64115080	64118140	Histone	H3K36me3	B cells (PB) Roadmap
rs2269238	chr1	64115140	64122940	Histone	H3K36me3	common myeloid progenitor CD34 positive
rs2269238	chr1	64115160	64122080	Histone	H3K36me3	Fetal Adrenal Gland
rs2269238	chr1	64115300	64120500	Histone	H3K36me3	Fetal Muscle Leg
rs2269238	chr1	64115380	64122640	Histone	H3K36me3	Fetal Muscle Trunk
rs2269238	chr1	64115760	64119520	Histone	H3K4me1	CD4 positive alpha beta T cell ENCSR948ZKZ
rs2269238	chr1	64115780	64117900	Histone	H3K4me1	Fetal Muscle Leg
rs2269238	chr1	64115800	64122000	Histone	H3K36me3	Fetal Stomach
rs2269238	chr1	64115980	64119140	Histone	H3K4me1	CD4 positive alpha beta T cell
rs2269238	chr1	64116100	64120480	Histone	H3K4me1	T cells (PB) Roadmap
rs2269238	chr1	64116300	64119220	Histone	H3K4me1	Fetal Thymus
rs2269238	chr1	64116338	64118704	Histone	H3K27ac	CD4 positive alpha beta T cell
rs2269238	chr1	64116340	64121860	Histone	H3K36me3	Fetal Intestine Small
rs2269238	chr1	64116360	64117900	Histone	H3K4me1	Fetal Muscle Trunk
rs2269238	chr1	64116400	64118820	Histone	H3K4me1	CD4 positive alpha beta memory T cell
rs2269238	chr1	64116440	64117660	Histone	H3K4me1	Thymus
rs2269238	chr1	64116520	64120320	Histone	H3K36me3	HUES6
rs2269238	chr1	64116580	64118440	Histone	H3K4me1	T helper 17 cell
rs2269238	chr1	64116699	64117627	Histone	H3K27ac	T helper 17 cell
rs2269238	chr1	64116780	64118880	Histone	H3K36me3	sigmoid colon
rs2269238	chr1	64116780	64118400	Histone	H3K36me3	common myeloid progenitor CD34 positive ENCSR722JRY
rs2269238	chr1	64116880	64118640	Histone	H3K4me1	CD4 positive CD25 positive alpha beta regulatory T cell
rs2269238	chr1	64116880	64118820	Histone	H3K36me3	Spleen
rs2269238	chr1	64116900	64119200	Histone	H3K36me3	HUES64
rs2269238	chr1	64117026	64118856	Histone	H3K27ac	T cells (PB) Roadmap
rs2269238	chr1	64117080	64118960	Histone	H3K36me3	IMR 90
rs2269238	chr1	64117099	64117738	Histone	H3K27ac	naive thymus derived CD4 positive alpha beta T cell
rs2269238	chr1	64117100	64120500	Histone	H3K36me3	T cells (PB) Roadmap
rs2269238	chr1	64117120	64118880	Histone	H3K4me1	naive thymus derived CD4 positive alpha beta T cell
rs2269238	chr1	64117120	64118240	Histone	H3K36me3	HUES48
rs2269238	chr1	64117140	64117580	Histone	H3K9me3	Lung
rs2269238	chr1	64117140	64117560	Histone	H3K36me3	H1-mesenchymal
rs2269238	chr1	64117160	64120320	Histone	H3K36me3	Lung
rs2269238	chr1	64117180	64118200	Histone	H3K36me3	lung ENCSR465WKM
rs2269238	chr1	64117180	64118680	Histone	H3K36me3	esophagus
rs2269238	chr1	64117180	64118760	Histone	H3K36me3	IMR90
rs2269238	chr1	64117200	64117620	Histone	H3K36me3	iPS-20b
rs2269238	chr1	64117200	64117620	Histone	H4K8ac	H1-trophoblast
rs2269238	chr1	64117244	64117619	Histone	H3K27ac	Small Intestine
rs2269238	chr1	64117340	64118880	Histone	H3K36me3	neural stem progenitor cell
rs2269238	chr1	64117340	64118280	Histone	H3K36me3	Left Ventricle
rs2269238	chr1	64117366	64117967	Histone	H3K27ac	CD4 positive alpha beta memory T cell
rs2269238	chr1	64117374	64117619	Histone	H3K27ac	iPS DF 6.9
rs2269238	chr1	64117400	64117620	Histone	H3K36me3	iPS-20b
rs2269238	chr1	64117480	64117760	Histone	H3K36me3	H1 hESC
rs11208264	chr1	64123160	64126380	Histone	H3K36me3	common myeloid progenitor CD34 positive
rs11208264	chr1	64123160	64128080	Histone	H3K36me3	Fetal Adrenal Gland
rs11208264	chr1	64123160	64125900	Histone	H3K36me3	Fetal Muscle Trunk
rs11208264	chr1	64123180	64126000	Histone	H3K36me3	Fetal Stomach
rs11208264	chr1	64123200	64126000	Histone	H3K36me3	Fetal Muscle Leg
rs11208264	chr1	64123280	64126720	Histone	H3K36me3	Placenta
rs11208264	chr1	64123980	64125920	Histone	H3K36me3	IMR 90
rs11208264	chr1	64124000	64125760	Histone	H3K36me3	Fetal Intestine Small
rs11208264	chr1	64124040	64127720	Histone	H3K36me3	Natural Killer cells (PB)
rs11208264	chr1	64124100	64126040	Histone	H3K36me3	HUES6
rs11208264	chr1	64124140	64127560	Histone	H3K36me3	common myeloid progenitor CD34 positive ENCSR337XXD 1
rs11208264	chr1	64124320	64127360	Histone	H3K4me1	neutrophil
rs11208264	chr1	64124480	64125080	Histone	H3K36me3	Fetal Intestine Large
rs11208264	chr1	64124500	64125920	Histone	H3K36me3	HUES64
rs11208264	chr1	64124560	64127820	Histone	H3K36me3	endodermal cell
rs11208264	chr1	64124580	64125720	Histone	H3K36me3	Monocytes-CD14+ (PB) Roadmap
rs11208264	chr1	64124600	64125080	Histone	H3K36me3	Left Ventricle
rs11208264	chr1	64124640	64125780	Histone	H3K36me3	Lung
rs11208264	chr1	64124640	64126040	Histone	H3K36me3	T cells (PB) Roadmap
rs11208264	chr1	64124800	64126000	Histone	H3K36me3	common myeloid progenitor CD34 positive ENCSR722JRY
rs11208264	chr1	64124900	64125960	Histone	H3K36me3	lung ENCSR465WKM
rs11208264	chr1	64124940	64125200	Histone	H3K36me3	H1 hESC
rs11208264	chr1	64125040	64125900	Histone	H3K36me3	sigmoid colon
rs11208264	chr1	64125040	64125640	Histone	H3K36me3	Gastric
rs11208264	chr1	64125040	64125780	Histone	H3K14ac	IMR90
rs11208264	chr1	64125060	64127420	Histone	H3K36me3	CD4 positive alpha beta T cell ENCSR948ZKZ
rs11208264	chr1	64125060	64125800	Histone	H3K36me3	Spleen
rs4643	chr1	64125300	64126040	Histone	H3K36me3	neural stem progenitor cell
rs4643	chr1	64125340	64125700	Histone	H3K4me1	HUES6
rs4643	chr1	64125360	64125740	Histone	H3K9me1	IMR 90
rs4643	chr1	64125360	64125880	Histone	H3K36me3	iPS-20b
rs4643	chr1	64125380	64125900	Histone	H3K4me1	HUES48
rs4643	chr1	64125400	64125680	Histone	H2BK12ac	IMR90
rs4643	chr1	64125400	64125680	Histone	H2BK12ac	IMR 90
rs4643	chr1	64125400	64125820	Histone	H3K36me3	HUES48
rs4643	chr1	64125400	64125760	Histone	H3K36me3	Left Ventricle
rs4643	chr1	64125420	64125720	Histone	H3K4me1	iPS 20b
rs4643	chr1	64125420	64125860	Histone	H3K36me3	heart right ventricle
rs4643	chr1	64123160	64126380	Histone	H3K36me3	common myeloid progenitor CD34 positive
rs4643	chr1	64123160	64128080	Histone	H3K36me3	Fetal Adrenal Gland
rs4643	chr1	64123160	64125900	Histone	H3K36me3	Fetal Muscle Trunk
rs4643	chr1	64123180	64126000	Histone	H3K36me3	Fetal Stomach
rs4643	chr1	64123200	64126000	Histone	H3K36me3	Fetal Muscle Leg
rs4643	chr1	64123280	64126720	Histone	H3K36me3	Placenta
rs4643	chr1	64123980	64125920	Histone	H3K36me3	IMR 90
rs4643	chr1	64124000	64125760	Histone	H3K36me3	Fetal Intestine Small
rs4643	chr1	64124040	64127720	Histone	H3K36me3	Natural Killer cells (PB)
rs4643	chr1	64124100	64126040	Histone	H3K36me3	HUES6
rs4643	chr1	64124140	64127560	Histone	H3K36me3	common myeloid progenitor CD34 positive ENCSR337XXD 1
rs4643	chr1	64124320	64127360	Histone	H3K4me1	neutrophil
rs4643	chr1	64124500	64125920	Histone	H3K36me3	HUES64
rs4643	chr1	64124560	64127820	Histone	H3K36me3	endodermal cell
rs4643	chr1	64124580	64125720	Histone	H3K36me3	Monocytes-CD14+ (PB) Roadmap
rs4643	chr1	64124640	64125780	Histone	H3K36me3	Lung
rs4643	chr1	64124640	64126040	Histone	H3K36me3	T cells (PB) Roadmap
rs4643	chr1	64124800	64126000	Histone	H3K36me3	common myeloid progenitor CD34 positive ENCSR722JRY
rs4643	chr1	64124900	64125960	Histone	H3K36me3	lung ENCSR465WKM
rs4643	chr1	64125040	64125900	Histone	H3K36me3	sigmoid colon
rs4643	chr1	64125040	64125640	Histone	H3K36me3	Gastric
rs4643	chr1	64125040	64125780	Histone	H3K14ac	IMR90
rs4643	chr1	64125060	64127420	Histone	H3K36me3	CD4 positive alpha beta T cell ENCSR948ZKZ
rs4643	chr1	64125060	64125800	Histone	H3K36me3	Spleen
rs4643	chr1	64125080	64125980	Histone	H3K4me1	Monocytes-CD14+ (PB) Roadmap
rs4643	chr1	64125080	64125700	Histone	H3K36me3	H1-mesenchymal
rs4643	chr1	64125092	64125705	Histone	H3K27ac	Spleen
rs4643	chr1	64125100	64125740	Histone	H2AK5ac	IMR90
rs4643	chr1	64125100	64125940	Histone	H3K36me3	Fetal Intestine Large
rs4643	chr1	64125135	64125717	Histone	H3K27ac	Right Atrium
rs4643	chr1	64125140	64125780	Histone	H3K36me3	Pancreas
rs4643	chr1	64125140	64125440	Histone	H3K36me3	esophagus
rs4643	chr1	64125141	64125499	Histone	H4K91ac	H1-neuronal progenitor
rs4643	chr1	64125160	64125800	Histone	H3K36me3	Ovary
rs4643	chr1	64125180	64125680	Histone	H3K4me1	iPS DF 19.11
rs4643	chr1	64125200	64125480	Histone	H3K9me3	iPS DF 19.11
rs4643	chr1	64125200	64125660	Histone	H2AK5ac	IMR 90
rs4643	chr1	64125240	64125680	Histone	H3K36me3	H1-trophoblast
rs4643	chr1	64125240	64125460	Histone	H3K9me3	H1-trophoblast
rs4643	chr1	64125260	64125760	Histone	H3K4me1	IMR 90
rs4643	chr1	64125260	64125740	Histone	H3K4me1	Natural Killer cells (PB)
rs4643	chr1	64125260	64125860	Histone	H3K36me3	H9
rs4643	chr1	64125260	64125460	Histone	H3K14ac	H9
rs2013012	chr1	64126460	64128340	Histone	H3K36me3	common myeloid progenitor CD34 positive
rs2013012	chr1	64126660	64129960	Histone	H3K36me3	Fetal Stomach
rs2013012	chr1	64126740	64129480	Histone	H2BK12ac	IMR 90
rs2013012	chr1	64126740	64128780	Histone	H3K4me1	Fetal Muscle Leg
rs2013012	chr1	64126740	64130000	Histone	H2AK5ac	IMR90
rs2013012	chr1	64126740	64129900	Histone	H3K4me1	IMR 90
rs2013012	chr1	64126780	64129520	Histone	H4K8ac	IMR 90
rs2013012	chr1	64126860	64129340	Histone	H3K4me1	HUES6
rs2013012	chr1	64126940	64129440	Histone	H2AK5ac	IMR 90
rs2013012	chr1	64127020	64129880	Histone	H2BK12ac	H1-trophoblast
rs2013012	chr1	64127020	64130060	Histone	H2BK12ac	IMR90
rs2013012	chr1	64127040	64129880	Histone	H3K4me1	H1-trophoblast
rs2013012	chr1	64127060	64128720	Histone	H3K14ac	H1-trophoblast
rs2013012	chr1	64127080	64129260	Histone	H3K14ac	IMR90
rs2013012	chr1	64127139	64129102	Histone	H2BK120ac	IMR90
rs2013012	chr1	64127140	64129240	Histone	H2AK5ac	H1-trophoblast
rs2013012	chr1	64127200	64129460	Histone	H3K79me1	H1-trophoblast
rs2013012	chr1	64127216	64129164	Histone	H3K27ac	esophagus
rs2013012	chr1	64127240	64129120	Histone	H3K4me1	IMR90
rs2013012	chr1	64127260	64129120	Histone	H4K8ac	IMR90
rs2013012	chr1	64127260	64129000	Histone	H3K4me1	Fetal Adrenal Gland
rs2013012	chr1	64127287	64129121	Histone	H4K5ac	IMR90
rs2013012	chr1	64127322	64129175	Histone	H3K18ac	IMR90
rs2013012	chr1	64127380	64128420	Histone	H3K4me1	lung ENCSR465WKM
rs2013012	chr1	64127380	64128900	Histone	H3K4me1	Fetal Muscle Trunk
rs2013012	chr1	64127412	64129420	Open Chromatin	DNase1	mammary epithelial cell ENCSR044VTN
rs2013012	chr1	64127433	64129476	Open Chromatin	DNase1	foreskin keratinocyte
rs2013012	chr1	64127440	64129020	Histone	H3K36me3	Fetal Intestine Small
rs2013012	chr1	64127440	64129360	Histone	H3K4me1	HUES64
rs2013012	chr1	64127462	64129184	Histone	H3K27ac	H1-mesenchymal
rs2013012	chr1	64127500	64129240	Histone	H4K8ac	H1-trophoblast
rs2013012	chr1	64127500	64129460	Histone	H3K4me1	Placenta
rs2013012	chr1	64127520	64129080	Histone	H3K4me1	iPS DF 19.11
rs2013012	chr1	64127520	64128740	Histone	H3K4me1	HUES48
rs2013012	chr1	64127526	64128650	Histone	H2BK120ac	H1-trophoblast
rs2013012	chr1	64127528	64129106	Histone	H2BK20ac	IMR90
rs2013012	chr1	64127575	64129070	Histone	H3K27ac	Right Atrium
rs2013012	chr1	64127600	64129080	Histone	H3K4me1	H1-mesenchymal
rs2013012	chr1	64127646	64128361	Open Chromatin	DNase1	foreskin fibroblast
rs2013012	chr1	64127658	64128619	Histone	H3K27ac	H1-trophoblast
rs2013012	chr1	64127659	64128371	Histone	H3K27ac	Fetal Stomach
rs2013012	chr1	64127660	64128460	Histone	H4K8ac	H1-mesenchymal
rs2013012	chr1	64127700	64128380	Histone	H3K4me1	Fetal Stomach
rs2013012	chr1	64127721	64128631	Histone	H4K91ac	H1-trophoblast
rs2013012	chr1	64127800	64128628	Histone	H2BK5ac	H1-trophoblast
rs2013012	chr1	64127820	64129080	Histone	H3K14ac	IMR 90
rs2013012	chr1	64127844	64129142	Histone	H3K18ac	IMR 90
rs2013012	chr1	64128022	64128518	Histone	H3K9ac	HUES6
rs2013012	chr1	64128067	64128411	Histone	H3K27ac	Fetal Adrenal Gland
rs2013012	chr1	64128077	64128632	Histone	H3K27ac	Thymus
rs2013012	chr1	64128116	64128451	Histone	H3K27ac	iPS DF 6.9
rs2013012	chr1	64128120	64129080	Histone	H2AK5ac	H1-mesenchymal
rs2013012	chr1	64128120	64128720	Histone	H3K4me1	iPS 20b
rs2013012	chr1	64128130	64129067	Histone	H4K91ac	IMR90
rs2013012	chr1	64128140	64128720	Histone	H3K4me1	iPS 20b
rs2013012	chr1	64128140	64129140	Histone	H3K4me1	esophagus
rs2013012	chr1	64128140	64128440	Histone	H2BK12ac	H1 hESC
rs2013012	chr1	64128160	64128360	Histone	H3K79me2	IMR 90
rs2013012	chr1	64128160	64128420	Histone	H3K14ac	H9
rs2013012	chr1	64128168	64128378	Histone	H3K4me3	Lung
rs2013012	chr1	64128180	64128480	Histone	H3K4me1	iPS DF 6.9
rs2013012	chr1	64128180	64128460	Histone	H3K4me1	Pancreas
rs2013012	chr1	64128180	64128540	Histone	H3K9me1	IMR 90
rs2013012	chr1	64128180	64128380	Histone	H3K36me3	H1-mesenchymal
rs2013012	chr1	64128200	64128420	Histone	H3K79me2	H1-trophoblast
rs2013012	chr1	64128200	64128340	Histone	H2BK12ac	H1-mesenchymal
rs2013012	chr1	64128200	64128420	Histone	H3K14ac	H1 hESC
rs41515647	chr1	77513480	77524240	Histone	H3K36me3	neural stem progenitor cell
rs41515647	chr1	77516800	77518200	Histone	H3K36me3	neuron
rs41515647	chr1	77516920	77517740	Histone	H3K36me3	HUES64
rs41515647	chr1	77516920	77517440	Histone	H3K36me3	iPS-20b
rs41515647	chr1	77516940	77517680	Histone	H3K36me3	Fetal Stomach
rs41515647	chr1	77516940	77517560	Histone	H3K27me3	IMR 90
rs859065	chr1	95347640	95352520	Histone	H2AK5ac	IMR90
rs859065	chr1	95348080	95354920	Histone	H3K4me1	Fetal Muscle Leg
rs859065	chr1	95350080	95352460	Histone	H3K36me3	Fetal Stomach
rs859065	chr1	95350180	95352500	Histone	H3K36me3	Fetal Intestine Small
rs859065	chr1	95350840	95353120	Histone	H3K36me3	Fetal Intestine Large
rs859065	chr1	95351100	95353300	Histone	H3K4me1	H1 hESC
rs859065	chr1	95351340	95352660	Histone	H3K4me1	Fetal Muscle Trunk
rs859065	chr1	95351370	95352501	Histone	H3K27ac	Lung
rs859065	chr1	95351460	95355380	Histone	H3K4me1	HUES48
rs859065	chr1	95351500	95352300	Histone	H3K36me3	Gastric
rs859065	chr1	95351500	95355420	Histone	H3K4me1	HUES64
rs859065	chr1	95351520	95352320	Histone	H2AK5ac	H1-trophoblast
rs859065	chr1	95351520	95352980	Histone	H3K4me1	iPS DF 19.11
rs859065	chr1	95351540	95352340	Histone	H2BK12ac	H1-trophoblast
rs859065	chr1	95351540	95352120	Histone	H3K79me1	H1-mesenchymal
rs859065	chr1	95351560	95352300	Histone	H3K36me3	H1-mesenchymal
rs859065	chr1	95351560	95352080	Histone	H3K4me1	iPS DF 6.9
rs859065	chr1	95351569	95352304	Histone	H3K27ac	Aorta
rs859065	chr1	95351580	95353380	Histone	H3K4me1	iPS 20b
rs859065	chr1	95351580	95354240	Histone	H3K4me1	HUES6
rs859065	chr1	95351580	95352340	Histone	H3K4me1	IMR 90
rs859065	chr1	95351680	95354300	Histone	H3K4me1	iPS 15b
rs859065	chr1	95351790	95352053	Histone	H2BK5ac	H1-neuronal progenitor
rs859065	chr1	95351840	95352280	Histone	H3K4me1	H1-mesenchymal
rs859065	chr1	95351840	95352360	Histone	H4K8ac	IMR 90
rs859065	chr1	95351920	95352220	Histone	H2BK12ac	H1-mesenchymal
rs859065	chr1	95351920	95352340	Histone	H2BK12ac	H1 hESC
rs859065	chr1	95351940	95352380	Histone	H3K14ac	H9
rs859065	chr1	95351940	95352240	Histone	H3K4me1	neuron
rs859065	chr1	95351960	95352300	Histone	H3K14ac	H1-trophoblast
rs859065	chr1	95351980	95352340	Histone	H4K8ac	H1-mesenchymal
rs859065	chr1	95351980	95352360	Histone	H4K8ac	H1-trophoblast
rs859065	chr1	95352004	95352225	Histone	H3K27ac	Right Atrium
rs859065	chr1	95352020	95352280	Histone	H3K36me3	Pancreas
rs927512	chr1	96930920	96934600	Histone	H3K27me3	HUES6
