Variation ID	Chromosome	GAD ID	Association	Associated SNPs	Phenotype	Disease Class	Gene	Reference	PubMed	p-Value	Population	Entrez Gene
rs2269241	chr1	708690	N		longevity	AGING	PGM1	Flachsbart F  et al.  2010	20800603			5236
rs2269241	chr1	708691			Tobacco Use Disorder	CHEMDEPENDENCY	PGM1	Rose J  et al.  2010	20379614			5236
rs2269241	chr1	708692			Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1	IMMUNE	PGM1	Qu HQ  et al.  2010	20378605			5236
rs2269241	chr1	132503			diabetes, type 1	IMMUNE	PGM1	Lucarelli P 1978	621091			5236
rs2269241	chr1	132504			tuberculosis	INFECTION	PGM1	Song, H. Y.  et al. 2002	12608294			5236
rs2269241	chr1	132505			tuberculosis	INFECTION	PGM1	Tarskaia, L. A.  et al. 2002	11963573			5236
rs2269241	chr1	132506			atherosclerosis, coronary; tuberculosis	CARDIOVASCULAR	PGM1	Evseeva IV  et al. 2001	11771313		Russian	5236
rs2269241	chr1	132507			tuberculosis	INFECTION	PGM1		11785295			5236
rs2269241	chr1	599292	Y	rs2269241-G	type 1 diabetes	IMMUNE	PGM1	Barrett ,et al. 2009	19430480		 	5236
rs2269241	chr1	733577	Y	rs10489612	Cholesterol	METABOLIC	PGM1	Sekar Kathiresan et al. BMC medical genetics 2007	17903299	0.00		5236
rs2269241	chr1	741754	Y	rs2269241	Diabetes Mellitus, Type 1	IMMUNE	PGM1	Jeffrey C Barrett et al. Nature genetics 2009	19430480	0.00		5236
rs2269239	chr1	719751	Y	rs10927873	Heart Failure	CARDIOVASCULAR	SPEN		0	0.00		23013
rs2269239	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs2269239	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs2269239	chr1	727342	Y	rs563978	Tunica Media	CARDIOVASCULAR	PTP4A2		0	0.00		8073
rs2269239	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs2269239	chr1	707904			Birth Weight|Body Weight|Diabetes mellitus type II|Diabetes Mellitus, Type 2	UNKNOWN	PGM1	Fulvia Gloria-Bottini  et al.  2007	18091362			5236
rs2269239	chr1	708690	N		longevity	AGING	PGM1	Flachsbart F  et al.  2010	20800603			5236
rs2269239	chr1	708691			Tobacco Use Disorder	CHEMDEPENDENCY	PGM1	Rose J  et al.  2010	20379614			5236
rs2269239	chr1	708692			Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1	IMMUNE	PGM1	Qu HQ  et al.  2010	20378605			5236
rs2269239	chr1	132503			diabetes, type 1	IMMUNE	PGM1	Lucarelli P 1978	621091			5236
rs2269239	chr1	132504			tuberculosis	INFECTION	PGM1	Song, H. Y.  et al. 2002	12608294			5236
rs2269239	chr1	132505			tuberculosis	INFECTION	PGM1	Tarskaia, L. A.  et al. 2002	11963573			5236
rs2269239	chr1	132506			atherosclerosis, coronary; tuberculosis	CARDIOVASCULAR	PGM1	Evseeva IV  et al. 2001	11771313		Russian	5236
rs2269239	chr1	132507			tuberculosis	INFECTION	PGM1		11785295			5236
rs2269239	chr1	599292	Y	rs2269241-G	type 1 diabetes	IMMUNE	PGM1	Barrett ,et al. 2009	19430480		 	5236
rs2269239	chr1	733577	Y	rs10489612	Cholesterol	METABOLIC	PGM1	Sekar Kathiresan et al. BMC medical genetics 2007	17903299	0.00		5236
rs2269239	chr1	741754	Y	rs2269241	Diabetes Mellitus, Type 1	IMMUNE	PGM1	Jeffrey C Barrett et al. Nature genetics 2009	19430480	0.00		5236
rs3790857	chr1	719751	Y	rs10927873	Heart Failure	CARDIOVASCULAR	SPEN		0	0.00		23013
rs3790857	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs3790857	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs3790857	chr1	727342	Y	rs563978	Tunica Media	CARDIOVASCULAR	PTP4A2		0	0.00		8073
rs3790857	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs3790857	chr1	707904			Birth Weight|Body Weight|Diabetes mellitus type II|Diabetes Mellitus, Type 2	UNKNOWN	PGM1	Fulvia Gloria-Bottini  et al.  2007	18091362			5236
rs3790857	chr1	708690	N		longevity	AGING	PGM1	Flachsbart F  et al.  2010	20800603			5236
rs3790857	chr1	708691			Tobacco Use Disorder	CHEMDEPENDENCY	PGM1	Rose J  et al.  2010	20379614			5236
rs3790857	chr1	708692			Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1	IMMUNE	PGM1	Qu HQ  et al.  2010	20378605			5236
rs3790857	chr1	132503			diabetes, type 1	IMMUNE	PGM1	Lucarelli P 1978	621091			5236
rs3790857	chr1	132504			tuberculosis	INFECTION	PGM1	Song, H. Y.  et al. 2002	12608294			5236
rs3790857	chr1	132505			tuberculosis	INFECTION	PGM1	Tarskaia, L. A.  et al. 2002	11963573			5236
rs3790857	chr1	132506			atherosclerosis, coronary; tuberculosis	CARDIOVASCULAR	PGM1	Evseeva IV  et al. 2001	11771313		Russian	5236
rs3790857	chr1	132507			tuberculosis	INFECTION	PGM1		11785295			5236
rs3790857	chr1	599292	Y	rs2269241-G	type 1 diabetes	IMMUNE	PGM1	Barrett ,et al. 2009	19430480		 	5236
rs3790857	chr1	733577	Y	rs10489612	Cholesterol	METABOLIC	PGM1	Sekar Kathiresan et al. BMC medical genetics 2007	17903299	0.00		5236
rs3790857	chr1	741754	Y	rs2269241	Diabetes Mellitus, Type 1	IMMUNE	PGM1	Jeffrey C Barrett et al. Nature genetics 2009	19430480	0.00		5236
rs2269238	chr1	719751	Y	rs10927873	Heart Failure	CARDIOVASCULAR	SPEN		0	0.00		23013
rs2269238	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs2269238	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs2269238	chr1	727342	Y	rs563978	Tunica Media	CARDIOVASCULAR	PTP4A2		0	0.00		8073
rs2269238	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs2269238	chr1	707904			Birth Weight|Body Weight|Diabetes mellitus type II|Diabetes Mellitus, Type 2	UNKNOWN	PGM1	Fulvia Gloria-Bottini  et al.  2007	18091362			5236
rs2269238	chr1	708690	N		longevity	AGING	PGM1	Flachsbart F  et al.  2010	20800603			5236
rs2269238	chr1	708691			Tobacco Use Disorder	CHEMDEPENDENCY	PGM1	Rose J  et al.  2010	20379614			5236
rs2269238	chr1	708692			Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1	IMMUNE	PGM1	Qu HQ  et al.  2010	20378605			5236
rs2269238	chr1	132503			diabetes, type 1	IMMUNE	PGM1	Lucarelli P 1978	621091			5236
rs2269238	chr1	132504			tuberculosis	INFECTION	PGM1	Song, H. Y.  et al. 2002	12608294			5236
rs2269238	chr1	132505			tuberculosis	INFECTION	PGM1	Tarskaia, L. A.  et al. 2002	11963573			5236
rs2269238	chr1	132506			atherosclerosis, coronary; tuberculosis	CARDIOVASCULAR	PGM1	Evseeva IV  et al. 2001	11771313		Russian	5236
rs2269238	chr1	132507			tuberculosis	INFECTION	PGM1		11785295			5236
rs2269238	chr1	599292	Y	rs2269241-G	type 1 diabetes	IMMUNE	PGM1	Barrett ,et al. 2009	19430480		 	5236
rs2269238	chr1	733577	Y	rs10489612	Cholesterol	METABOLIC	PGM1	Sekar Kathiresan et al. BMC medical genetics 2007	17903299	0.00		5236
rs2269238	chr1	741754	Y	rs2269241	Diabetes Mellitus, Type 1	IMMUNE	PGM1	Jeffrey C Barrett et al. Nature genetics 2009	19430480	0.00		5236
rs11208264	chr1	719751	Y	rs10927873	Heart Failure	CARDIOVASCULAR	SPEN		0	0.00		23013
rs11208264	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs11208264	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs11208264	chr1	727342	Y	rs563978	Tunica Media	CARDIOVASCULAR	PTP4A2		0	0.00		8073
rs11208264	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs11208264	chr1	707904			Birth Weight|Body Weight|Diabetes mellitus type II|Diabetes Mellitus, Type 2	UNKNOWN	PGM1	Fulvia Gloria-Bottini  et al.  2007	18091362			5236
rs11208264	chr1	708690	N		longevity	AGING	PGM1	Flachsbart F  et al.  2010	20800603			5236
rs11208264	chr1	708691			Tobacco Use Disorder	CHEMDEPENDENCY	PGM1	Rose J  et al.  2010	20379614			5236
rs11208264	chr1	708692			Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1	IMMUNE	PGM1	Qu HQ  et al.  2010	20378605			5236
rs11208264	chr1	132503			diabetes, type 1	IMMUNE	PGM1	Lucarelli P 1978	621091			5236
rs11208264	chr1	132504			tuberculosis	INFECTION	PGM1	Song, H. Y.  et al. 2002	12608294			5236
rs11208264	chr1	132505			tuberculosis	INFECTION	PGM1	Tarskaia, L. A.  et al. 2002	11963573			5236
rs11208264	chr1	132506			atherosclerosis, coronary; tuberculosis	CARDIOVASCULAR	PGM1	Evseeva IV  et al. 2001	11771313		Russian	5236
rs11208264	chr1	132507			tuberculosis	INFECTION	PGM1		11785295			5236
rs11208264	chr1	599292	Y	rs2269241-G	type 1 diabetes	IMMUNE	PGM1	Barrett ,et al. 2009	19430480		 	5236
rs11208264	chr1	733577	Y	rs10489612	Cholesterol	METABOLIC	PGM1	Sekar Kathiresan et al. BMC medical genetics 2007	17903299	0.00		5236
rs11208264	chr1	741754	Y	rs2269241	Diabetes Mellitus, Type 1	IMMUNE	PGM1	Jeffrey C Barrett et al. Nature genetics 2009	19430480	0.00		5236
rs4643	chr1	719751	Y	rs10927873	Heart Failure	CARDIOVASCULAR	SPEN		0	0.00		23013
rs4643	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs4643	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs4643	chr1	727342	Y	rs563978	Tunica Media	CARDIOVASCULAR	PTP4A2		0	0.00		8073
rs4643	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs4643	chr1	707904			Birth Weight|Body Weight|Diabetes mellitus type II|Diabetes Mellitus, Type 2	UNKNOWN	PGM1	Fulvia Gloria-Bottini  et al.  2007	18091362			5236
rs4643	chr1	708690	N		longevity	AGING	PGM1	Flachsbart F  et al.  2010	20800603			5236
rs4643	chr1	708691			Tobacco Use Disorder	CHEMDEPENDENCY	PGM1	Rose J  et al.  2010	20379614			5236
rs4643	chr1	708692			Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1	IMMUNE	PGM1	Qu HQ  et al.  2010	20378605			5236
rs4643	chr1	132503			diabetes, type 1	IMMUNE	PGM1	Lucarelli P 1978	621091			5236
rs4643	chr1	132504			tuberculosis	INFECTION	PGM1	Song, H. Y.  et al. 2002	12608294			5236
rs4643	chr1	132505			tuberculosis	INFECTION	PGM1	Tarskaia, L. A.  et al. 2002	11963573			5236
rs4643	chr1	132506			atherosclerosis, coronary; tuberculosis	CARDIOVASCULAR	PGM1	Evseeva IV  et al. 2001	11771313		Russian	5236
rs4643	chr1	132507			tuberculosis	INFECTION	PGM1		11785295			5236
rs4643	chr1	599292	Y	rs2269241-G	type 1 diabetes	IMMUNE	PGM1	Barrett ,et al. 2009	19430480		 	5236
rs4643	chr1	733577	Y	rs10489612	Cholesterol	METABOLIC	PGM1	Sekar Kathiresan et al. BMC medical genetics 2007	17903299	0.00		5236
rs4643	chr1	741754	Y	rs2269241	Diabetes Mellitus, Type 1	IMMUNE	PGM1	Jeffrey C Barrett et al. Nature genetics 2009	19430480	0.00		5236
rs2013012	chr1	719751	Y	rs10927873	Heart Failure	CARDIOVASCULAR	SPEN		0	0.00		23013
rs2013012	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs2013012	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs2013012	chr1	727342	Y	rs563978	Tunica Media	CARDIOVASCULAR	PTP4A2		0	0.00		8073
rs2013012	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs41515647	chr1	719751	Y	rs10927873	Heart Failure	CARDIOVASCULAR	SPEN		0	0.00		23013
rs41515647	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs41515647	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs41515647	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs41515647	chr1	746176	Y	rs12037173	Attention Deficit Disorder with Hyperactivity	PSYCH	AGBL3	Eric Mick et al. Journal of the American Academy of Child and Adolescent Psychiatry 2011	21784300	0.00		340351
rs41515647	chr1	676986			Tobacco Use Disorder	CHEMDEPENDENCY	ST6GALNAC5	Rose J  et al.  2010	20379614			81849
rs859065	chr1	719751	Y	rs10927873	Heart Failure	CARDIOVASCULAR	SPEN		0	0.00		23013
rs859065	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs859065	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs859065	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs859065	chr1	746176	Y	rs12037173	Attention Deficit Disorder with Hyperactivity	PSYCH	AGBL3	Eric Mick et al. Journal of the American Academy of Child and Adolescent Psychiatry 2011	21784300	0.00		340351
rs859065	chr1	738390	Y	rs527281	Blood Pressure	CARDIOVASCULAR	SEPT10	Daniel Levy et al. BMC medical genetics 2007	17903302	0.00		
rs859065	chr1	738603	Y	rs527281	Blood Pressure	CARDIOVASCULAR	SEPT10	Daniel Levy et al. BMC medical genetics 2007	17903302	0.00		
rs859065	chr1	738395	Y	rs578851	Blood Pressure	CARDIOVASCULAR	SEPT10	Daniel Levy et al. BMC medical genetics 2007	17903302	0.00		
rs859065	chr1	682795			Tobacco Use Disorder	CHEMDEPENDENCY	SLC44A3	Rose J  et al.  2010	20379614			126969
rs859065	chr1	731114	Y	rs10493879	Fibrinogen	HEMATOLOGICAL	SLC44A3	Qiong Yang et al. BMC medical genetics 2007	17903294	0.00		126969
rs859065	chr1	721946	Y	rs859096	Iron	METABOLIC	SLC44A3		0	0.00		126969
rs859065	chr1	721504	Y	rs735937	Iron	METABOLIC	SLC44A3		0	0.00		126969
rs859065	chr1	722572	Y	rs10493878	Lipoproteins	METABOLIC	SLC44A3		0	0.00		126969
rs859065	chr1	731639	Y	rs10493878	Mental Competency	AGING	SLC44A3	Kathryn L Lunetta et al. BMC medical genetics 2007	17903295	0.00		126969
rs927512	chr1	719751	Y	rs10927873	Heart Failure	CARDIOVASCULAR	SPEN		0	0.00		23013
rs927512	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs927512	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs927512	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs927512	chr1	746176	Y	rs12037173	Attention Deficit Disorder with Hyperactivity	PSYCH	AGBL3	Eric Mick et al. Journal of the American Academy of Child and Adolescent Psychiatry 2011	21784300	0.00		340351
rs927512	chr1	738390	Y	rs527281	Blood Pressure	CARDIOVASCULAR	SEPT10	Daniel Levy et al. BMC medical genetics 2007	17903302	0.00		
rs927512	chr1	738603	Y	rs527281	Blood Pressure	CARDIOVASCULAR	SEPT10	Daniel Levy et al. BMC medical genetics 2007	17903302	0.00		
rs927512	chr1	738395	Y	rs578851	Blood Pressure	CARDIOVASCULAR	SEPT10	Daniel Levy et al. BMC medical genetics 2007	17903302	0.00		
rs1264882	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs1264882	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs1264882	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs1264882	chr1	746176	Y	rs12037173	Attention Deficit Disorder with Hyperactivity	PSYCH	AGBL3	Eric Mick et al. Journal of the American Academy of Child and Adolescent Psychiatry 2011	21784300	0.00		340351
rs1264882	chr1	729653	Y	rs5023291	Glomerular Filtration Rate	RENAL	NTNG1	Shih-Jen Hwang et al. BMC medical genetics 2007	17903292	0.00		22854
rs1264882	chr1	744805	Y	rs10494067	Anorexia Nervosa	PSYCH	NTNG1	K Wang et al. Molecular psychiatry 2011	21079607	0.00		22854
rs1264882	chr1	714751	Y	rs12731224	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1264882	chr1	714992	Y	rs1373337	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1264882	chr1	714970	Y	rs1444038	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1264882	chr1	714961	Y	rs12735678	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1264882	chr1	708230	N		longevity	AGING	OVGP1	Flachsbart F  et al.  2010	20800603			5016
rs1264882	chr1	600329	Y		smoking cessation	CHEMDEPENDENCY	OVGP1	Uhl ,et al. Pharmacogenomics 2010	20235792			5016
rs4456089	chr1	714751	Y	rs12731224	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs4456089	chr1	714992	Y	rs1373337	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs4456089	chr1	714970	Y	rs1444038	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs4456089	chr1	714961	Y	rs12735678	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs4456089	chr1	683211			Tobacco Use Disorder	CHEMDEPENDENCY	MAGI3	Rose J  et al.  2010	20379614			260425
rs4456089	chr1	719085	Y	rs2153977	Glucose	METABOLIC	MAGI3		0	0.00		260425
rs4456089	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs4456089	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs4456089	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs4456089	chr1	746176	Y	rs12037173	Attention Deficit Disorder with Hyperactivity	PSYCH	AGBL3	Eric Mick et al. Journal of the American Academy of Child and Adolescent Psychiatry 2011	21784300	0.00		340351
rs4456089	chr1	729653	Y	rs5023291	Glomerular Filtration Rate	RENAL	NTNG1	Shih-Jen Hwang et al. BMC medical genetics 2007	17903292	0.00		22854
rs4456089	chr1	744805	Y	rs10494067	Anorexia Nervosa	PSYCH	NTNG1	K Wang et al. Molecular psychiatry 2011	21079607	0.00		22854
rs17013326	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs17013326	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs17013326	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs17013326	chr1	746176	Y	rs12037173	Attention Deficit Disorder with Hyperactivity	PSYCH	AGBL3	Eric Mick et al. Journal of the American Academy of Child and Adolescent Psychiatry 2011	21784300	0.00		340351
rs17013326	chr1	729653	Y	rs5023291	Glomerular Filtration Rate	RENAL	NTNG1	Shih-Jen Hwang et al. BMC medical genetics 2007	17903292	0.00		22854
rs17013326	chr1	744805	Y	rs10494067	Anorexia Nervosa	PSYCH	NTNG1	K Wang et al. Molecular psychiatry 2011	21079607	0.00		22854
rs17013326	chr1	714751	Y	rs12731224	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs17013326	chr1	714992	Y	rs1373337	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs17013326	chr1	714970	Y	rs1444038	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs17013326	chr1	714961	Y	rs12735678	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs17013326	chr1	683211			Tobacco Use Disorder	CHEMDEPENDENCY	MAGI3	Rose J  et al.  2010	20379614			260425
rs17013326	chr1	719085	Y	rs2153977	Glucose	METABOLIC	MAGI3		0	0.00		260425
rs1113523	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs1113523	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs1113523	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs1113523	chr1	746176	Y	rs12037173	Attention Deficit Disorder with Hyperactivity	PSYCH	AGBL3	Eric Mick et al. Journal of the American Academy of Child and Adolescent Psychiatry 2011	21784300	0.00		340351
rs1113523	chr1	729653	Y	rs5023291	Glomerular Filtration Rate	RENAL	NTNG1	Shih-Jen Hwang et al. BMC medical genetics 2007	17903292	0.00		22854
rs1113523	chr1	744805	Y	rs10494067	Anorexia Nervosa	PSYCH	NTNG1	K Wang et al. Molecular psychiatry 2011	21079607	0.00		22854
rs1113523	chr1	714751	Y	rs12731224	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1113523	chr1	714992	Y	rs1373337	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1113523	chr1	714970	Y	rs1444038	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1113523	chr1	714961	Y	rs12735678	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1113523	chr1	683211			Tobacco Use Disorder	CHEMDEPENDENCY	MAGI3	Rose J  et al.  2010	20379614			260425
rs1113523	chr1	719085	Y	rs2153977	Glucose	METABOLIC	MAGI3		0	0.00		260425
rs1113523	chr1	719421	Y	rs12035317	Glucose	METABOLIC	MAGI3		0	0.00		260425
rs1217227	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs1217227	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs1217227	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs1217227	chr1	746176	Y	rs12037173	Attention Deficit Disorder with Hyperactivity	PSYCH	AGBL3	Eric Mick et al. Journal of the American Academy of Child and Adolescent Psychiatry 2011	21784300	0.00		340351
rs1217227	chr1	729653	Y	rs5023291	Glomerular Filtration Rate	RENAL	NTNG1	Shih-Jen Hwang et al. BMC medical genetics 2007	17903292	0.00		22854
rs1217227	chr1	744805	Y	rs10494067	Anorexia Nervosa	PSYCH	NTNG1	K Wang et al. Molecular psychiatry 2011	21079607	0.00		22854
rs1217227	chr1	714751	Y	rs12731224	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1217227	chr1	714992	Y	rs1373337	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1217227	chr1	714970	Y	rs1444038	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1217227	chr1	714961	Y	rs12735678	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1217227	chr1	683211			Tobacco Use Disorder	CHEMDEPENDENCY	MAGI3	Rose J  et al.  2010	20379614			260425
rs1217227	chr1	719085	Y	rs2153977	Glucose	METABOLIC	MAGI3		0	0.00		260425
rs1217227	chr1	719421	Y	rs12035317	Glucose	METABOLIC	MAGI3		0	0.00		260425
rs1217226	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs1217226	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs1217226	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs1217226	chr1	746176	Y	rs12037173	Attention Deficit Disorder with Hyperactivity	PSYCH	AGBL3	Eric Mick et al. Journal of the American Academy of Child and Adolescent Psychiatry 2011	21784300	0.00		340351
rs1217226	chr1	729653	Y	rs5023291	Glomerular Filtration Rate	RENAL	NTNG1	Shih-Jen Hwang et al. BMC medical genetics 2007	17903292	0.00		22854
rs1217226	chr1	744805	Y	rs10494067	Anorexia Nervosa	PSYCH	NTNG1	K Wang et al. Molecular psychiatry 2011	21079607	0.00		22854
rs1217226	chr1	714751	Y	rs12731224	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1217226	chr1	714992	Y	rs1373337	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1217226	chr1	714970	Y	rs1444038	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
rs1217226	chr1	714961	Y	rs12735678	Body Mass Index	METABOLIC	NTNG1		0	0.00		22854
