Variation ID	Chromosome	Catalogue ID	Region	Genes	Allele Frequency	Trait	Population	Platform	PubMed
rs11747270	chr5	rs11747270	5q33.1	IRGM	0.09	Crohn's disease	3,230 European ancestry cases, 4,829 European ancestry controls	Affymetrix, Illumina [635547] (imputed)	18587394
rs10484399	chr6	rs10484399	6p22.1	None	0.10184582058753	Depressive symptoms	1,067,913 European ancestry individuals	NR [NR]	30643256
rs10484399	chr6	rs10484399	6p22.1	ZNF184, LOC100131289	0.204	Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)	664 Swedish ancestry non-Lofgren's syndrome cases, 384 Swedish ancestry Lofgren's syndrome cases	Illumina [118177]	26651848
rs200991	chr6	rs200991	6p22.1	HIST1H2BN	None	General cognitive ability	up to 300,486 European ancestry individuals	Affymetrix, Illumina [at least 2500000] (imputed)	29844566
rs202906	chr6	rs202906	6p22.1	HIST1H1B, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4J, HIST1H4K, HIST1H4L, LINC01012, LOC100131289, NKAPL, OR2B2, OR2B6, PGBD1, TOB2P1, ZKSCAN4, ZKSCAN8, ZNF165, ZNF184, ZNF192P1, ZSCAN12P1, ZSCAN16, ZSCAN16-AS1, ZSCAN26, ZSCAN31, ZSCAN9		Autism spectrum disorder or schizophrenia	schizophrenia cases and controls (see Ripke, 2014), up to 6,197 European ancestry ASD cases, up to 7,377 European ancestry controls, up to 1,190 ASD cases, up to 1,190 controls	Affymetrix, Illumina [NR]	28540026
rs17720293	chr6	rs17720293	6p22.1	ZKSCAN4	None	Schizophrenia	14,023 East Asian ancestry cases, 33,640 European ancestry cases, 31,505 East Asian ancestry controls, 43,456 European ancestry controls	Illumina [6627481] (imputed)	30285260
rs17720293	chr6	rs17720293	6p22.1	None	None	Urinary tract infection frequency	35,000 European ancestry cases, 33,478 European ancestry controls	Illumina [at least 560000] (imputed)	28928442
rs9272346	chr6	rs9272346	6p21.32	None	0.59	Asthma (childhood onset)	9,433 British ancestry cases, 318,237 British ancestry controls	Affymetrix [10894596] (imputed)	31036433
rs9272346	chr6	rs9272346	6p21.32	None	0.59	Asthma (age of onset)	37,846 British ancestry individuals	Affymetrix [10894596] (imputed)	31036433
rs9272346	chr6	rs9272346	6p21.32	None	0.59	Asthma (adult onset)	21,564 British ancestry cases, 318,237 British ancestry controls	Affymetrix [10894596] (imputed)	31036433
rs9272346	chr6	rs9272346	6p21.32	HLA-DRB1, HLA-DQA1	0.56	Asthma	19,954 European ancestry cases, 107,715 European ancestry controls, 2,149 African ancestry cases, 6,055 African ancestry controls, 1,239 Japanese ancestry cases, 3,976 Japanese ancestry controls, 606 Latino cases, 792 Latino controls	Affymetrix, Illumina, Perlegen [2831075] (imputed)	29273806
rs9272346	chr6	rs9272346	6p21.32	HLA-DRB1, HLA-DQA1	0.56	Asthma	19,954 European ancestry cases, 107,715 European ancestry controls	Affymetrix, Illumina, Perlegen [2831075] (imputed)	29273806
rs9272346	chr6	rs9272346	6p21.32	HLA-DQA1	None	Asthma	Up to 1,238 European ancestry cases, up to 2,617 European ancestry controls	Affymetrix [455089]	23181788
rs9272346	chr6	rs9272346	6p21.32	HLA	None	Type 1 diabetes	3,561 European ancestry cases, 4,646 European ancestry controls	Affymetrix [up to 335565]	18978792
rs9272346	chr6	rs9272346	6p21.32	MHC	0.61	Type 1 diabetes	1,963 European ancestry cases, 2,938 European ancestry controls	Affymetrix [469557]	17554300
rs9500256	chr6	rs9500256	6p11.2	None	0.58	Eosinophilic esophagitis (pediatric)	181 European ancestry cases, 1,974 European ancestry controls	Illumina [~ 550000]	20208534
rs494562	chr6	rs494562	6q14.3	NT5E	0.9	Blood metabolite levels	7,824 European ancestry individuals	Affymetrix, Illumina [2100000] (imputed)	24816252
rs494562	chr6	rs494562	6q14.3	NT5E	0.106	Metabolic traits	2,820 European ancestry individuals	Affymetrix, Illumina [534665]	21886157
rs2153219	chr6	rs2153219	6q25.1	intergenic	0.8347	Coronary artery disease	88,192 cases, 162,544 controls	NR [8041861] (imputed)	29212778
rs1832871	chr6	rs1832871	6q25.3	TULP4	0.337	Height	253,288 European ancestry individuals	Affymetrix, Illumina, Perlegen [2550858] (imputed)	25282103
rs10953730	chr7	rs10953730	7q31.1	intergenic	0.35	Metabolite levels	284 European ancestry male individuals	Affymetrix [187454]	19043545
rs2383894	chr8	rs2383894	8q21.11	STAU2-AS1	None	White matter growth	581 European ancestry individuals, 31 African American individuals, 8 Asian American individuals 15 admixed individuals, 80 other ancestries individuals	Illumina [at least 653030]	29682794
rs7865618	chr9	rs7865618	9p21.3	CDKN2B-AS1	0.44	Optic cup area	15,087 European ancestry individuals, 2,131 Erasmus Rucphen Family individuals	Affymetrix, Illumina [~ 2500000] (imputed)	25631615
rs7865618	chr9	rs7865618	9p21.3	CDKN2B-AS1	0.44	Optic cup area	15,087 European ancestry individuals, 2,131 Erasmus Rucphen Family individuals	Affymetrix, Illumina [~ 2500000] (imputed)	25631615
rs7865618	chr9	rs7865618	9p21.3	CDKN2BAS	None	Vertical cup-disc ratio	18,963 European ancestry individuals, 2,131 Erasmus Rucphen individuals	Affymetrix, Illumina [~ 2500000] (imputed)	25241763
rs7865618	chr9	rs7865618	9p21.3	CDKN2B-AS1	0.82	Glaucoma (primary open-angle)	833 Japanese ancestry cases, 686 Japanese ancestry controls	Affymetrix [653519]	22428042
rs7865618	chr9	rs7865618	9p21.3	MTAP	0.59	Coronary heart disease	2,078 European ancestry cases, 2,953 European ancestry controls	Affymetrix [608247]	21606135
rs1333051	chr9	rs1333051	9p21.3	CDKN2A, CDKN2B	None	Type 2 diabetes	1,804 Hispanic cases, 780 Hispanic controls	Affymetrix [315658]	21573907
rs649057	chr9	rs649057	9q22.33		None	Otitis media (chronic)	512 Finnish ancestry child cases, 2,073 Finnish ancestry controls	Illumina [319683]	27632927
rs649057	chr9	rs649057	9q22.33	None	None	Otitis media	803 Finnish ancestry child cases, 2,073 Finnish ancestry controls	Illumina [319683]	27632927
rs649057	chr9	rs649057	9q22.33	None	0.05057	Smooth-surface caries	982 European ancestry individuals	Illumina [1200000] (imputed)	23470693
rs649057	chr9	rs649057	9q22.33	TGFBR1, NR4A3	None	Dental caries	920 European ancestry individuals	Illumina [518997]	23064961
rs12686004	chr9	rs12686004	9q31.1	None	None	High density lipoprotein cholesterol levels	10,085 African American individuals, 17,751 Hispanic/Latino individuals, 2,378 Asian ancestry individuals, 1,912 Native Hawaiian ancestry individuals, 604 Native American ancestry individuals, 333 individuals	Illumina [31978362] (imputed)	31217584
rs12686004	chr9	rs12686004	9q31.1	ABCA1		High density lipoprotein cholesterol levels	6,949 Korean ancestry individuals	Affymetrix [at least 805769] (imputed)	30718733
rs12686004	chr9	rs12686004	9q31.1	None	None	Triglycerides	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	Affymetrix [at least 7091467] (imputed)	29507422
rs12686004	chr9	rs12686004	9q31.1	None	0.879	Triglycerides	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	Affymetrix [at least 7091467] (imputed)	29507422
rs12686004	chr9	rs12686004	9q31.1	None	None	Total cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	Affymetrix [at least 7091467] (imputed)	29507422
rs12686004	chr9	rs12686004	9q31.1	None	0.879	Total cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	Affymetrix [at least 7091467] (imputed)	29507422
rs12686004	chr9	rs12686004	9q31.1	None	None	Low density lipoprotein cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	Affymetrix [at least 7091467] (imputed)	29507422
rs12686004	chr9	rs12686004	9q31.1	None	0.879	Low density lipoprotein cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	Affymetrix [at least 7091467] (imputed)	29507422
rs12686004	chr9	rs12686004	9q31.1	None	None	High density lipoprotein cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	Affymetrix [at least 7091467] (imputed)	29507422
rs12686004	chr9	rs12686004	9q31.1	None	0.879	High density lipoprotein cholesterol levels	76,627 European ancestry individuals, 7,795 Hispanic individuals, 6,855 East Asian ancestry individuals, 2,958 African American individuals, 439 South Asian ancestry individuals	Affymetrix [at least 7091467] (imputed)	29507422
rs12686004	chr9	rs12686004	9q31.1	ABCA1	0.21	HDL cholesterol	12,545 Korean ancestry individuals	Affymetrix [~ 2200000] (imputed)	21909109
