Variation ID	Chromosome	Chrom Start	Chrom End	Type	Reference	PubMed	Method	Sample	Gain	Loss
rs2488457	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs2488457	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs2488457	chr1	114414324	114478909	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1235005	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs1235005	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1235005	chr1	114414324	114478909	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs10776775	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs10776775	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs10776775	chr1	114414324	114478909	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs3811019	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs3811019	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs3811019	chr1	114414324	114478909	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs3811019	chr1	114470440	114477111	loss	Uddin et al 2014	25503493	SNP array	873	0	1
rs742872	chr1	115563301	116102691	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	6
rs742872	chr1	115720302	115728276	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	4
rs742872	chr1	115723694	116167958	gain	Pinto et al 2007	17911159	SNP array	771	5	0
rs742871	chr1	115563301	116102691	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	6
rs742871	chr1	115720302	115728276	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	4
rs742871	chr1	115723694	116167958	gain	Pinto et al 2007	17911159	SNP array	771	5	0
rs10489532	chr1	115563301	116102691	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	6
rs10489532	chr1	115723694	116167958	gain	Pinto et al 2007	17911159	SNP array	771	5	0
rs10489532	chr1	115727947	116069039	gain	Wang et al 2007	17921354	SNP array	112	1	0
rs973836	chr1	115563301	116102691	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	6
rs973836	chr1	115723694	116167958	gain	Pinto et al 2007	17911159	SNP array	771	5	0
rs973836	chr1	115727947	116069039	gain	Wang et al 2007	17921354	SNP array	112	1	0
rs17547358	chr1	115563301	116102691	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	6
rs17547358	chr1	115723694	116167958	gain	Pinto et al 2007	17911159	SNP array	771	5	0
rs17547358	chr1	115727947	116069039	gain	Wang et al 2007	17921354	SNP array	112	1	0
rs7556598	chr1	119433517	121311799	gain	Shaikh et al 2009	19592680	SNP array	2026	1	0
rs7556598	chr1	119752111	120072961	loss	Gusev et al 2009	18971310	SNP array	270	0	0
rs7556598	chr1	119847446	120154798	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs17459837	chr1	201285711	201503732	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs17459837	chr1	201285711	201503732	gain	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	1	0
rs17459837	chr1	201288954	201503732	gain	Jakobsson et al 2008	18288195	SNP array	443	1	0
rs17459837	chr1	201295713	201310436	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs17019726	chr1	212925428	213006397	loss	Redon et al 2006	17122850	BAC aCGH, SNP array	270	0	1
rs17019726	chr1	212944239	212986996	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs10926688	chr1	242201246	242555949	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs10926688	chr1	242201246	242555949	gain	Jakobsson et al 2008	18288195	SNP array	443	1	0
rs10926688	chr1	242201246	242555949	gain	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	1	0
rs10926688	chr1	242265418	242856854	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	2	0
rs10926688	chr1	242363697	242904755	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs10926688	chr1	242465654	242989157	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs4237348	chr10	18683266	18994583	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs10764114	chr10	19400844	19979434	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs10764114	chr10	19400844	19979434	gain	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	1	0
rs10764114	chr10	19694143	20024994	loss	Redon et al 2006	17122850	BAC aCGH, SNP array	270	0	2
rs10764114	chr10	19740295	20509036	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs10764114	chr10	19777068	20117944	loss	Pinto et al 2007	17911159	SNP array	771	0	5
rs10764114	chr10	19807018	20037182	loss	Park et al 2010	20364138	Oligo aCGH	31	0	1
rs10764114	chr10	19825562	20035698	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	6
rs10764114	chr10	19859399	20035593	gain	Wong et al 2007	17160897	BAC aCGH	95	1	0
rs10764114	chr10	19877247	19983938	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	2
rs10764114	chr10	19935094	20039621	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs17296387	chr10	33264226	33398942	loss	Wong et al 2007	17160897	BAC aCGH	95	0	3
rs2804672	chr10	38291247	38900673	gain	Uddin et al 2014	25503493	SNP array	873	1	0
rs2804672	chr10	38545897	38671289	loss	de Smith et al 2007	17666407	Oligo aCGH	51	0	1
rs2804672	chr10	38641507	39076221	gain	Vogler et al 2010	21179565	Merging, SNP array	1109	3	0
rs2804672	chr10	38645823	39074038	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	4	0
rs2804672	chr10	38652000	38818835	loss	Perry et al 2008b	18775914	BAC aCGH, FISH, PCR	62	0	1
rs2842107	chr10	51563992	52157935	gain	Shaikh et al 2009	19592680	SNP array	2026	1	0
rs2842107	chr10	51737442	52447295	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs2842107	chr10	51773986	52167442	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	4	0
rs2842107	chr10	52002203	52407610	gain	Suktitipat et al 2014	25118596	SNP array	3017	1	0
rs2842107	chr10	52051644	52197847	gain	Shaikh et al 2009	19592680	SNP array	2026	1	0
rs1566222	chr10	70174419	70609067	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs1566222	chr10	70401975	70556197	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	1
rs1566222	chr10	70410535	70541649	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs1566222	chr10	70457718	70631312	loss	Redon et al 2006	17122850	BAC aCGH, SNP array	270	0	3
rs10824347	chr10	77543679	77702623	gain	Perry et al 2008	18304495	Oligo aCGH	31	1	0
rs10824347	chr10	77544307	77701786	gain	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	2	0
rs10824347	chr10	77555490	77736622	gain	Pinto et al 2007	17911159	SNP array	771	5	0
rs1574190	chr10	80109120	81096589	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs1574190	chr10	80109120	81096589	gain	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	1	0
rs1574190	chr10	80898074	81073515	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs1574190	chr10	80952258	81076777	loss	Wong et al 2007	17160897	BAC aCGH	95	0	4
rs4933971	chr10	85020121	86392391	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs4933971	chr10	85030144	86389476	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs11201271	chr10	86587877	86646717	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs11201271	chr10	86600079	86792346	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs11201271	chr10	86606280	86790305	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs11201271	chr10	86623451	86930338	gain	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	2	0
rs1409298	chr10	91681343	92297943	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs1409298	chr10	91681343	92297943	gain	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	1	0
rs1409298	chr10	92081092	92605364	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	4	0
rs1409298	chr10	92082249	92598823	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	4	0
rs1409298	chr10	92082249	92559908	gain	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	1	0
rs1409298	chr10	92083014	92605119	gain	Shaikh et al 2009	19592680	SNP array	2026	2	0
rs2148895	chr10	129614646	129807958	gain	Wong et al 2007	17160897	BAC aCGH	95	1	0
rs6578252	chr11	1754399	2439767	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs6578252	chr11	1754399	2439767	gain	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	1	0
rs9919651	chr11	4096526	4330263	gain	Wong et al 2007	17160897	BAC aCGH	95	1	0
rs9919651	chr11	4123118	4359044	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs9919651	chr11	4123118	4238406	gain	Uddin et al 2014	25503493	SNP array	873	1	0
rs9919651	chr11	4138061	4276133	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs9919651	chr11	4162473	4325792	gain	Pinto et al 2007	17911159	SNP array	771	4	0
rs9919651	chr11	4167415	4238930	gain	Wang et al 2007	17921354	SNP array	112	1	0
rs9919651	chr11	4175300	4215588	gain	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	1	0
rs10734407	chr11	4188187	4238930	loss	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	0	1
rs10734407	chr11	4200168	4272343	loss	Jakobsson et al 2008	18288195	SNP array	443	0	2
rs10734407	chr11	4228789	4234450	gain	Park et al 2010	20364138	Oligo aCGH	31	1	0
rs10734407	chr11	4096526	4330263	gain	Wong et al 2007	17160897	BAC aCGH	95	1	0
rs10734407	chr11	4123118	4359044	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs10734407	chr11	4123118	4238406	gain	Uddin et al 2014	25503493	SNP array	873	1	0
rs10734407	chr11	4138061	4276133	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs10734407	chr11	4162473	4325792	gain	Pinto et al 2007	17911159	SNP array	771	4	0
rs10734407	chr11	4167415	4238930	gain	Wang et al 2007	17921354	SNP array	112	1	0
rs10734407	chr11	4185594	4272343	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	1
rs10734407	chr11	4185594	4272343	loss	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	0	1
rs10734407	chr11	4188187	4238930	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	1
rs10500664	chr11	6629041	7001786	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs10500664	chr11	6637503	6685558	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	1
rs10500664	chr11	6684647	6874557	gain	Wong et al 2007	17160897	BAC aCGH	95	2	0
rs439667	chr11	8153581	8263173	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs439667	chr11	8223089	8272605	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs439667	chr11	8252852	8271723	loss	Jakobsson et al 2008	18288195	SNP array	443	0	2
rs10500712	chr11	9849510	9954549	loss	Vogler et al 2010	21179565	Merging, SNP array	1109	0	1
rs16933680	chr11	16834544	17059176	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs16933680	chr11	16912250	17968255	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs10741734	chr11	17927966	18047743	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs11024835	chr11	18311700	19058451	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs11024835	chr11	18818728	19082068	gain	Perry et al 2008b	18775914	BAC aCGH, FISH, PCR	62	2	0
rs10834986	chr11	25552963	26677697	loss	Uddin et al 2014	25503493	SNP array	873	0	1
rs10834986	chr11	26473130	26604553	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs10834986	chr11	26485519	26605331	loss	Shaikh et al 2009	19592680	SNP array	2026	0	1
rs10834986	chr11	26485519	26603926	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	1
rs10834986	chr11	26485519	26603926	loss	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	0	1
rs7945815	chr11	26529847	26555414	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs7945815	chr11	25552963	26677697	loss	Uddin et al 2014	25503493	SNP array	873	0	1
rs7945815	chr11	26473130	26604553	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs7945815	chr11	26485519	26605331	loss	Shaikh et al 2009	19592680	SNP array	2026	0	1
rs7945815	chr11	26485519	26603926	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	1
rs7945815	chr11	26485519	26603926	loss	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	0	1
rs11231787	chr11	64121968	64312300	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs11231787	chr11	64176310	64213156	gain	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	1	0
rs480617	chr11	64315367	64485209	gain	Wong et al 2007	17160897	BAC aCGH	95	5	0
rs480617	chr11	64334113	64573589	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	3
rs480617	chr11	64345447	64701030	loss	Shaikh et al 2009	19592680	SNP array	2026	0	1
rs480617	chr11	64345447	64546391	gain	Wang et al 2007	17921354	SNP array	112	1	0
rs480617	chr11	64470090	64478776	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs480617	chr11	64477049	64584959	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	4
rs480617	chr11	64477049	64584959	loss	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	0	2
rs1456243	chr11	92789999	93219942	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs1456243	chr11	93172672	93266594	loss	Vogler et al 2010	21179565	Merging, SNP array	1109	0	3
rs1908241	chr11	96850525	97192796	loss	Redon et al 2006	17122850	BAC aCGH, SNP array	270	0	2
rs1908241	chr11	96909415	97097033	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs1908241	chr11	96978873	97108386	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	6
rs1908241	chr11	96983791	97083985	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	1
rs1908241	chr11	97006301	97126390	loss	Pinto et al 2007	17911159	SNP array	771	0	5
rs1908241	chr11	97049621	97243403	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	1
rs1908241	chr11	97062701	97224386	gain	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	1	0
rs1908241	chr11	97062701	97224386	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	2
rs1908241	chr11	97070517	97144149	gain	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	1	0
rs11226253	chr11	103760084	104374141	loss	Vogler et al 2010	21179565	Merging, SNP array	1109	0	3
rs11226253	chr11	103881235	104526403	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs11226253	chr11	103964789	105346058	gain	Pinto et al 2007	17911159	SNP array	771	5	0
rs11226253	chr11	103982697	106914127	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs11226253	chr11	104036857	105293149	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	2	0
rs2115763	chr11	112031623	112064139	gain	Shaikh et al 2009	19592680	SNP array	2026	1	0
rs2115763	chr11	112043613	112063254	loss	Shaikh et al 2009	19592680	SNP array	2026	0	1
rs2115763	chr11	112044041	112087799	loss	Uddin et al 2014	25503493	SNP array	873	0	1
rs2115763	chr11	112047560	112083580	loss	Vogler et al 2010	21179565	Merging, SNP array	1109	0	1
rs17610557	chr11	113480971	113541998	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs17610557	chr11	113480971	113522981	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	2	0
rs17532157	chr11	113480971	113541998	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs17532157	chr11	113480971	113522981	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	2	0
rs17532479	chr11	113480971	113541998	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs17532479	chr11	113480971	113522981	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	2	0
rs11606746	chr11	113480971	113541998	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs1633550	chr11	113654752	113828306	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs1633548	chr11	113654752	113828306	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs2513574	chr11	113654752	113828306	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs2519200	chr11	113654752	113828306	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs10789970	chr11	113654752	113828306	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs17116117	chr11	113654752	113828306	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs17116145	chr11	113654752	113828306	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs1176741	chr11	113654752	113828306	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs1176740	chr11	113654752	113828306	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs1176739	chr11	113654752	113828306	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs1176738	chr11	113654752	113828306	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs2714049	chr11	123264641	123474408	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs2714049	chr11	123279194	123544795	loss	Redon et al 2006	17122850	BAC aCGH, SNP array	270	0	1
rs2714049	chr11	123344814	123345870	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs2155373	chr11	132324238	132387460	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	1
rs11223425	chr11	132810789	133292376	gain	Pinto et al 2007	17911159	SNP array	771	8	0
rs11223425	chr11	132819883	133264009	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	3	0
rs11223425	chr11	132821451	133266331	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	6	0
rs11223425	chr11	132824077	133269149	gain	Uddin et al 2014	25503493	SNP array	873	1	0
rs11223425	chr11	132913866	133595048	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs11223425	chr11	132953767	133158580	gain	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	363	0
rs11223425	chr11	132954726	133268340	gain	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	1	0
rs10848821	chr12	3242170	3467200	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs10849439	chr12	6224131	6428122	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs2114870	chr12	8594881	10104289	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs2114870	chr12	9560086	9830668	gain	Perry et al 2008b	18775914	BAC aCGH, FISH, PCR	62	10	0
rs11052372	chr12	8594881	10104289	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs7310460	chr12	8594881	10104289	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs11052552	chr12	8594881	10104289	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs4763879	chr12	8594881	10104289	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs7955585	chr12	31866832	32185924	gain	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	1	0
rs17598279	chr12	44447848	45975915	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs17598279	chr12	45319766	45365812	loss	Shaikh et al 2009	19592680	SNP array	2026	0	1
rs10876266	chr12	52563263	52785519	gain	Redon et al 2006	17122850	BAC aCGH, SNP array	270	1	0
rs10876266	chr12	52675097	52700967	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	1
rs10876266	chr12	52676402	52791933	gain	Pinto et al 2007	17911159	SNP array	771	25	0
rs1873914	chr12	56262219	56629427	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs1873914	chr12	56275225	56466917	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs705698	chr12	56262219	56629427	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs705698	chr12	56275225	56466917	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs705702	chr12	56262219	56629427	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs705702	chr12	56275225	56466917	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs11171739	chr12	56262219	56629427	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs11171739	chr12	56392544	56512774	loss	Wong et al 2007	17160897	BAC aCGH	95	0	2
rs2292239	chr12	56262219	56629427	gain	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	1	0
rs2292239	chr12	56392544	56512774	loss	Wong et al 2007	17160897	BAC aCGH	95	0	2
rs2703061	chr12	58716448	58733347	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
