Pathway ID	Description	Parent(s)	p-Value	Genes Involved	Variation IDs
R-HSA-3000157	Laminin interactions	Extracellular matrix organization	0.027609	LAMA2,ITGA2	rs43188,rs9375615
R-HSA-4090294	SUMOylation of intracellular receptors	Metabolism of proteins	0.027609	NR3C2,RORA	rs17237810,rs17484678,rs782916
R-HSA-422356	Regulation of insulin secretion	Metabolism	0.029081	CACNB2,GNAS,ADCY8	rs1435447,rs4237348,rs919197
R-HSA-418594	G alpha (i) signalling events	Signal Transduction	0.030904	P2RY12,GNAS,PDE1C,BCO2,PDE6A,GRM8,CAMKMT,ADCY8	rs10487463,rs1435447,rs17160736,rs2115763,rs3776069,rs3821664,rs6721746,rs919197
R-HSA-438064	Post NMDA receptor activation events	Neuronal System	0.031055	GRIA1,PRKAG2,ADCY8	rs10035262,rs1435447,rs7780008
R-HSA-163359	Glucagon signaling in metabolic regulation	Metabolism	0.032957	GNAS,ADCY8	rs1435447,rs919197
R-HSA-2514859	Inactivation, recovery and regulation of the phototransduction cascade	Signal Transduction	0.032957	PDE6A,CAMKMT	rs3776069,rs6721746
R-HSA-1912408	Pre-NOTCH Transcription and Translation	Signal Transduction	0.033097	HIST1H2BN,TNRC6A,RUNX1	rs200991,rs200995,rs201002,rs41513350,rs9930029
R-HSA-212436	Generic Transcription Pathway	Gene expression (Transcription)	0.033422	RBFOX1,WWOX,HIST1H2BN,NR3C2,PRKAG2,YWHAE,RORA,ZNF667,CCND3,ZNF225,HUS1,ZNF714,LMO1,TNRC6A,RUNX1,ZKSCAN4,ZKSCAN8,GLI3	rs1019142,rs1542038,rs16945811,rs16978732,rs17237810,rs17484678,rs17720293,rs1871695,rs200991,rs200995,rs201002,rs3735361,rs41513350,rs439667,rs4607417,rs7260268,rs7780008,rs7783847,rs782916,rs8063113,rs9930029
R-HSA-111957	Cam-PDE 1 activation	Signal Transduction	0.034210	PDE1C	rs17160736
R-HSA-3656535	TGFBR1 LBD Mutants in Cancer	Disease	0.034210	TGFBR2	rs17025857
R-HSA-399710	Activation of AMPA receptors	Neuronal System	0.034210	GRIA1	rs10035262
R-HSA-8941333	RUNX2 regulates genes involved in differentiation of myeloid cells	Gene expression (Transcription)	0.034210	RUNX1	rs41513350
R-HSA-8985801	Regulation of cortical dendrite branching	Developmental Biology	0.034210	ROBO2	rs9808969
R-HSA-111933	Calmodulin induced events	Signal Transduction	0.034822	PDE1C,ADCY8	rs1435447,rs17160736
R-HSA-111997	CaM pathway	Signal Transduction	0.034822	PDE1C,ADCY8	rs1435447,rs17160736
R-HSA-2514856	The phototransduction cascade	Signal Transduction	0.034822	PDE6A,CAMKMT	rs3776069,rs6721746
R-HSA-5628897	TP53 Regulates Metabolic Genes	Gene expression (Transcription)	0.038501	PRKAG2,YWHAE,TNRC6A	rs16945811,rs7780008,rs9930029
R-HSA-69473	G2/M DNA damage checkpoint	Cell Cycle	0.038501	HIST1H2BN,YWHAE,HUS1	rs16945811,rs200991,rs200995,rs201002,rs7783847
R-HSA-111996	Ca-dependent events	Signal Transduction	0.038674	PDE1C,ADCY8	rs1435447,rs17160736
R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	Vesicle-mediated transport	0.041947	YWHAE,RAB5B,SBF2	rs10500712,rs16945811,rs1873914,rs705698
R-HSA-1306955	GRB7 events in ERBB2 signaling	Signal Transduction	0.042580	ERBB3	rs2292239
R-HSA-209931	Serotonin and melatonin biosynthesis	Metabolism	0.042580	TPH1	rs10741734
R-HSA-8875513	MET interacts with TNS proteins	Signal Transduction	0.042580	TNS3	rs10265492
R-HSA-8935964	RUNX1 regulates expression of components of tight junctions	Gene expression (Transcription)	0.042580	RUNX1	rs41513350
R-HSA-8939247	RUNX1 regulates transcription of genes involved in interleukin signaling	Gene expression (Transcription)	0.042580	RUNX1	rs41513350
R-HSA-9022707	MECP2 regulates transcription factors	Gene expression (Transcription)	0.042580	RBFOX1	rs1019142
R-HSA-6794362	Protein-protein interactions at synapses	Neuronal System	0.044328	GRIA1,APBA1,NRXN2	rs10035262,rs11138830,rs480617
R-HSA-1489509	DAG and IP3 signaling	Signal Transduction	0.046832	PDE1C,ADCY8	rs1435447,rs17160736
R-HSA-205025	NADE modulates death signalling	Signal Transduction	0.050878	YWHAE	rs16945811
R-HSA-3304356	SMAD2/3 Phosphorylation Motif Mutants in Cancer	Disease	0.050878	TGFBR2	rs17025857
R-HSA-3656532	TGFBR1 KD Mutants in Cancer	Disease	0.050878	TGFBR2	rs17025857
R-HSA-8931987	RUNX1 regulates estrogen receptor mediated transcription	Gene expression (Transcription)	0.050878	RUNX1	rs41513350
R-HSA-8939245	RUNX1 regulates transcription of genes involved in BCR signaling	Gene expression (Transcription)	0.050878	RUNX1	rs41513350
R-HSA-8939256	RUNX1 regulates transcription of genes involved in WNT signaling	Gene expression (Transcription)	0.050878	RUNX1	rs41513350
R-HSA-9032845	Activated NTRK2 signals through CDK5	Signal Transduction	0.050878	TIAM1	rs11700615
R-HSA-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	Metabolism	0.051127	GNAS,ADCY8	rs1435447,rs919197
R-HSA-9029569	NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	Signal Transduction	0.051127	ABCA1,TNRC6A	rs12686004,rs9930029
R-HSA-1912422	Pre-NOTCH Expression and Processing	Signal Transduction	0.051865	HIST1H2BN,TNRC6A,RUNX1	rs200991,rs200995,rs201002,rs41513350,rs9930029
R-HSA-432040	Vasopressin regulates renal water homeostasis via Aquaporins	Transport of small molecules	0.053325	GNAS,ADCY8	rs1435447,rs919197
R-HSA-8878171	Transcriptional regulation by RUNX1	Gene expression (Transcription)	0.054024	HIST1H2BN,CCND3,LMO1,RUNX1,TNRC6A	rs200991,rs200995,rs201002,rs41513350,rs439667,rs4607417,rs9930029
R-HSA-5576892	Phase 0 - rapid depolarisation	Muscle contraction	0.055557	CACNB2,FGF14	rs11838497,rs4237348
R-HSA-2980767	Activation of NIMA Kinases NEK9, NEK6, NEK7	Cell Cycle	0.059105	NEK6	rs16927327
R-HSA-3304349	Loss of Function of SMAD2/3 in Cancer	Disease	0.059105	TGFBR2	rs17025857
R-HSA-3656534	Loss of Function of TGFBR1 in Cancer	Disease	0.059105	TGFBR2	rs17025857
R-HSA-426496	Post-transcriptional silencing by small RNAs	Gene expression (Transcription)	0.059105	TNRC6A	rs9930029
R-HSA-5635851	GLI proteins bind promoters of Hh responsive genes to promote transcription	Signal Transduction	0.059105	GLI3	rs3735361
R-HSA-8939246	RUNX1 regulates transcription of genes involved in differentiation of myeloid cells	Gene expression (Transcription)	0.059105	RUNX1	rs41513350
R-HSA-418597	G alpha (z) signalling events	Signal Transduction	0.062444	GNAS,ADCY8	rs1435447,rs919197
R-HSA-2187338	Visual phototransduction	Signal Transduction	0.062812	BCO2,PDE6A,CAMKMT	rs2115763,rs3776069,rs6721746
R-HSA-8953854	Metabolism of RNA	Metabolism of RNA	0.066660	CCAR1,PAN3	rs1566222,rs9554277,rs9554296
R-HSA-163680	AMPK inhibits chREBP transcriptional activation activity	Metabolism	0.067262	PRKAG2	rs7780008
R-HSA-3304351	Signaling by TGF-beta Receptor Complex in Cancer	Disease	0.067262	TGFBR2	rs17025857
R-HSA-446210	Synthesis of UDP-N-acetyl-glucosamine	Metabolism of proteins	0.067262	GFPT2	rs2112594
R-HSA-8939242	RUNX1 regulates transcription of genes involved in differentiation of keratinocytes	Gene expression (Transcription)	0.067262	RUNX1	rs41513350
R-HSA-8963896	HDL assembly	Transport of small molecules	0.067262	ABCA1	rs12686004
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	Signal Transduction	0.070672	TNS3,WWOX,PTPRK,ERBB3,LAMA2,ITGA2,TIAM1,COL27A1	rs10265492,rs11700615,rs2292239,rs2326671,rs43188,rs4979354,rs8063113,rs9375615
R-HSA-112310	Neurotransmitter release cycle	Neuronal System	0.072049	APBA1,SYN3	rs11138830,rs135475
R-HSA-112043	PLC beta mediated events	Signal Transduction	0.074521	PDE1C,ADCY8	rs1435447,rs17160736
R-HSA-445717	Aquaporin-mediated transport	Transport of small molecules	0.074521	GNAS,ADCY8	rs1435447,rs919197
R-HSA-9024446	NR1H2 and NR1H3-mediated signaling	Signal Transduction	0.074521	ABCA1,TNRC6A	rs12686004,rs9930029
R-HSA-389887	Beta-oxidation of pristanoyl-CoA	Metabolism	0.075348	ACOXL	rs10187034,rs6706577
R-HSA-425986	Sodium/Proton exchangers	Transport of small molecules	0.075348	SLC9A9	rs1135438
R-HSA-447041	CHL1 interactions	Developmental Biology	0.075348	ITGA2	rs43188
R-HSA-9010642	ROBO receptors bind AKAP5	Developmental Biology	0.075348	ROBO2	rs9808969
R-HSA-9020933	Interleukin-23 signaling	Immune System	0.075348	STAT4	rs9967792
R-HSA-9613354	Lipophagy	Autophagy	0.075348	PRKAG2	rs7780008
R-HSA-112040	G-protein mediated events	Signal Transduction	0.077019	PDE1C,ADCY8	rs1435447,rs17160736
R-HSA-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs	Gene expression (Transcription)	0.077869	HIST1H2BN,LMO1,RUNX1	rs200991,rs200995,rs201002,rs41513350,rs439667
R-HSA-8978868	Fatty acid metabolism	Metabolism	0.081560	ACAD10,SCD5,PRKAG2,ACOXL	rs10187034,rs17005996,rs634389,rs6706577,rs7780008
R-HSA-112311	Neurotransmitter clearance	Neuronal System	0.083365	ALDH2	rs10744777
R-HSA-170660	Adenylate cyclase activating pathway	Signal Transduction	0.083365	ADCY8	rs1435447
R-HSA-2151209	Activation of PPARGC1A (PGC-1alpha) by phosphorylation	Organelle biogenesis and maintenance	0.083365	PRKAG2	rs7780008
R-HSA-425381	Bicarbonate transporters	Transport of small molecules	0.083365	AHCYL2	rs2566878
R-HSA-428542	Regulation of commissural axon pathfinding by SLIT and ROBO	Developmental Biology	0.083365	ROBO2	rs9808969
R-HSA-549127	Organic cation transport	Transport of small molecules	0.083365	RUNX1	rs41513350
R-HSA-8866904	Negative regulation of activity of TFAP2 (AP-2) family transcription factors	Gene expression (Transcription)	0.083365	WWOX	rs8063113
R-HSA-8877330	RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	Gene expression (Transcription)	0.083365	RUNX1	rs41513350
R-HSA-9020958	Interleukin-21 signaling	Immune System	0.083365	STAT4	rs9967792
R-HSA-6794361	Neurexins and neuroligins	Neuronal System	0.084671	APBA1,NRXN2	rs11138830,rs480617
R-HSA-9007101	Rab regulation of trafficking	Vesicle-mediated transport	0.085939	YWHAE,RAB5B,SBF2	rs10500712,rs16945811,rs1873914,rs705698
R-HSA-73857	RNA Polymerase II Transcription	Gene expression (Transcription)	0.086407	YWHAE,RBFOX1,WWOX,NR3C2,PRKAG2,HIST1H2BN,RORA,ZNF667,ZNF225,CCND3,HUS1,ZNF714,LMO1,RUNX1,TNRC6A,ZKSCAN4,ZKSCAN8,GLI3	rs1019142,rs1542038,rs16945811,rs16978732,rs17237810,rs17484678,rs17720293,rs1871695,rs200991,rs200995,rs201002,rs3735361,rs41513350,rs439667,rs4607417,rs7260268,rs7780008,rs7783847,rs782916,rs8063113,rs9930029
R-HSA-383280	Nuclear Receptor transcription pathway	Gene expression (Transcription)	0.087272	NR3C2,RORA	rs17237810,rs17484678,rs782916
R-HSA-9018519	Estrogen-dependent gene expression	Signal Transduction	0.089263	HIST1H2BN,TNRC6A,RUNX1	rs200991,rs200995,rs201002,rs41513350,rs9930029
R-HSA-1236394	Signaling by ERBB4	Signal Transduction	0.089896	WWOX,ERBB3	rs2292239,rs8063113
R-HSA-2485179	Activation of the phototransduction cascade	Signal Transduction	0.091313	PDE6A	rs3776069
R-HSA-2534343	Interaction With Cumulus Cells And The Zona Pellucida	Reproduction	0.091313	OVGP1	rs1264882
R-HSA-8948700	Competing endogenous RNAs (ceRNAs) regulate PTEN translation	Signal Transduction	0.091313	TNRC6A	rs9930029
R-HSA-5610787	Hedgehog 'off' state	Signal Transduction	0.096071	GNAS,GLI3,ADCY8	rs1435447,rs3735361,rs919197
R-HSA-112308	Presynaptic depolarization and calcium channel opening	Neuronal System	0.099193	CACNB2	rs4237348
R-HSA-417957	P2Y receptors	Signal Transduction	0.099193	P2RY12	rs3821664
R-HSA-442720	CREB1 phosphorylation through the activation of Adenylate Cyclase	Neuronal System	0.099193	ADCY8	rs1435447
R-HSA-71384	Ethanol oxidation	Metabolism	0.099193	ALDH2	rs10744777
R-HSA-8866907	Activation of the TFAP2 (AP-2) family of transcription factors	Gene expression (Transcription)	0.099193	WWOX	rs8063113
R-HSA-8984722	Interleukin-35 Signalling	Immune System	0.099193	STAT4	rs9967792
R-HSA-4086398	Ca2+ pathway	Signal Transduction	0.100620	PDE6A,TNRC6A	rs3776069,rs9930029
R-HSA-8986944	Transcriptional Regulation by MECP2	Gene expression (Transcription)	0.100620	RBFOX1,TNRC6A	rs1019142,rs9930029
R-HSA-9616222	Transcriptional regulation of granulopoiesis	Developmental Biology	0.100620	HIST1H2BN,RUNX1	rs200991,rs200995,rs201002,rs41513350
R-HSA-977443	GABA receptor activation	Neuronal System	0.100620	GABRA6,ADCY8	rs1435447,rs9313891
R-HSA-382551	Transport of small molecules	Transport of small molecules	0.103200	SLC44A3,GNAS,ANO3,SPG7,ABCA1,SLC17A3,RUNX1,AHCYL2,ADCY8,SLC9A9,ABCA12	rs10834986,rs1135438,rs12686004,rs1409612,rs1435447,rs2566878,rs3803676,rs382745,rs41513350,rs523383,rs7945815,rs859065,rs919197
R-HSA-168256	Immune System	Immune System	0.106447	CLEC2D,BTN3A1,RAB5B,SYNGAP1,ASB5,RORA,HLA-DQA1,GM2A,PGM1,ERBB3,BTN3A3,BTN2A1,ASB7,STAT4	rs10456045,rs10807124,rs11052372,rs11208264,rs17237810,rs17659728,rs1873914,rs2114870,rs2128427,rs2237236,rs2269238,rs2269239,rs2269241,rs2292239,rs3790857,rs4643,rs6598368,rs705698,rs7310460,rs7763910,rs782916,rs9272346,rs9272723,rs9967792
R-HSA-1358803	Downregulation of ERBB2:ERBB3 signaling	Signal Transduction	0.107005	ERBB3	rs2292239
R-HSA-200425	Import of palmitoyl-CoA into the mitochondrial matrix	Metabolism	0.107005	PRKAG2	rs7780008
R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	Cell Cycle	0.107005	YWHAE	rs16945811
R-HSA-8847993	ERBB2 Activates PTK6 Signaling	Signal Transduction	0.107005	ERBB3	rs2292239
R-HSA-8943723	Regulation of PTEN mRNA translation	Signal Transduction	0.107005	TNRC6A	rs9930029
R-HSA-5625740	RHO GTPases activate PKNs	Signal Transduction	0.111679	HIST1H2BN,YWHAE	rs16945811,rs200991,rs200995,rs201002
R-HSA-5688426	Deubiquitination	Metabolism of proteins	0.114046	USP28,INO80C,HIST1H2BN,OTUD7A,TGFBR2	rs12907720,rs1633548,rs1633550,rs17025857,rs200991,rs200995,rs201002,rs2513574,rs2519200,rs355334,rs7170060
R-HSA-3000171	Non-integrin membrane-ECM interactions	Extracellular matrix organization	0.114492	LAMA2,ITGA2	rs43188,rs9375615
R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	DNA Repair	0.114492	HIST1H2BN,EYA2	rs200991,rs200995,rs201002,rs2868853,rs3787249
R-HSA-170670	Adenylate cyclase inhibitory pathway	Neuronal System;Signal Transduction	0.114751	ADCY8	rs1435447
R-HSA-8951936	RUNX3 regulates p14-ARF	Gene expression (Transcription)	0.114751	RUNX1	rs41513350
R-HSA-5693606	DNA Double Strand Break Response	DNA Repair	0.117324	HIST1H2BN,EYA2	rs200991,rs200995,rs201002,rs2868853,rs3787249
R-HSA-111447	Activation of BAD and translocation to mitochondria 	Programmed Cell Death	0.122429	YWHAE	rs16945811
R-HSA-418038	Nucleotide-like (purinergic) receptors	Signal Transduction	0.122429	P2RY12	rs3821664
R-HSA-549132	Organic cation/anion/zwitterion transport	Transport of small molecules	0.122429	RUNX1	rs41513350
R-HSA-6785631	ERBB2 Regulates Cell Motility	Signal Transduction	0.122429	ERBB3	rs2292239
R-HSA-75892	Platelet Adhesion to exposed collagen	Hemostasis	0.122429	ITGA2	rs43188
R-HSA-446219	Synthesis of substrates in N-glycan biosythesis	Metabolism of proteins	0.123039	GFPT2,ST6GALNAC5	rs2112594,rs41515647
R-HSA-1445148	Translocation of SLC2A4 (GLUT4) to the plasma membrane	Vesicle-mediated transport	0.125922	PRKAG2,YWHAE	rs16945811,rs7780008
R-HSA-597592	Post-translational protein modification	Metabolism of proteins	0.128531	INO80C,USP28,NR3C2,GRIA1,RAB5B,ASB5,HIST1H2BN,RORA,GFPT2,OTUD7A,OPCML,TGFBR2,ASB7,ST6GALNAC5,THSD4,TULP4,CAMKMT,EVA1A	rs10035262,rs11223425,rs11858454,rs12907720,rs1633548,rs1633550,rs17025857,rs17237810,rs17484678,rs17727191,rs1873914,rs200991,rs200995,rs201002,rs2112594,rs2128427,rs2155373,rs2513574,rs2519200,rs341160,rs355334,rs41515647,rs6598368,rs6721746,rs705698,rs7170060,rs782916,rs8032794
R-HSA-1963642	PI3K events in ERBB2 signaling	Signal Transduction	0.130042	ERBB3	rs2292239
R-HSA-2173791	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	Signal Transduction	0.130042	TGFBR2	rs17025857
R-HSA-3322077	Glycogen synthesis	Metabolism	0.130042	PGM1	rs11208264,rs2269238,rs2269239,rs2269241,rs3790857,rs4643
R-HSA-163615	PKA activation	Signal Transduction	0.137590	ADCY8	rs1435447
R-HSA-416993	Trafficking of GluR2-containing AMPA receptors	Neuronal System	0.137590	GRIA1	rs10035262
R-HSA-8876725	Protein methylation	Metabolism of proteins	0.137590	CAMKMT	rs6721746
R-HSA-204998	Cell death signalling via NRAGE, NRIF and NADE	Signal Transduction	0.137611	YWHAE,TIAM1	rs11700615,rs16945811
R-HSA-1368082	RORA activates gene expression	Circadian Clock	0.145072	RORA	rs17237810,rs782916
R-HSA-1369062	ABC transporters in lipid homeostasis	Transport of small molecules	0.145072	ABCA12	rs1409612
R-HSA-181429	Serotonin Neurotransmitter Release Cycle	Neuronal System	0.145072	SYN3	rs135475
R-HSA-209776	Metabolism of amine-derived hormones	Metabolism	0.145072	TPH1	rs10741734
R-HSA-8949664	Processing of SMDT1	Transport of small molecules	0.145072	SPG7	rs3803676,rs382745
R-HSA-3000178	ECM proteoglycans	Extracellular matrix organization	0.146530	LAMA2,ITGA2	rs43188,rs9375615
R-HSA-5578749	Transcriptional regulation by small RNAs	Gene expression (Transcription)	0.149529	HIST1H2BN,TNRC6A	rs200991,rs200995,rs201002,rs9930029
R-HSA-111931	PKA-mediated phosphorylation of CREB	Signal Transduction	0.152491	ADCY8	rs1435447
R-HSA-392851	Prostacyclin signalling through prostacyclin receptor	Hemostasis	0.152491	GNAS	rs919197
R-HSA-8963898	Plasma lipoprotein assembly	Transport of small molecules	0.152491	ABCA1	rs12686004
R-HSA-5693532	DNA Double-Strand Break Repair	DNA Repair	0.155206	HIST1H2BN,EYA2,HUS1	rs200991,rs200995,rs201002,rs2868853,rs3787249,rs7783847
R-HSA-438066	Unblocking of NMDA receptors, glutamate binding and activation	Neuronal System	0.159845	GRIA1	rs10035262
R-HSA-5358351	Signaling by Hedgehog	Signal Transduction	0.167754	GNAS,GLI3,ADCY8	rs1435447,rs3735361,rs919197
R-HSA-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	Metabolism of proteins	0.167772	GFPT2,ST6GALNAC5	rs2112594,rs41515647
R-HSA-1250196	SHC1 events in ERBB2 signaling	Signal Transduction	0.174366	ERBB3	rs2292239
R-HSA-392170	ADP signalling through P2Y purinoceptor 12	Hemostasis	0.174366	P2RY12	rs3821664
R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	Disease	0.174366	YWHAE	rs16945811
R-HSA-8863678	Neurodegenerative Diseases	Disease	0.174366	YWHAE	rs16945811
R-HSA-9620244	Long-term potentiation	Neuronal System	0.174366	GRIA1	rs10035262
R-HSA-111885	Opioid Signalling	Signal Transduction	0.180140	PDE1C,ADCY8	rs1435447,rs17160736
R-HSA-5693607	Processing of DNA double-strand break ends	DNA Repair	0.180140	HIST1H2BN,HUS1	rs200991,rs200995,rs201002,rs7783847
R-HSA-74160	Gene expression (Transcription)	Gene expression (Transcription)	0.180634	YWHAE,RBFOX1,WWOX,NR3C2,PRKAG2,RORA,HIST1H2BN,ZNF667,ZNF225,CCND3,HUS1,ZNF714,LMO1,RUNX1,TNRC6A,ZKSCAN4,ZKSCAN8,GLI3	rs1019142,rs1542038,rs16945811,rs16978732,rs17237810,rs17484678,rs17720293,rs1871695,rs200991,rs200995,rs201002,rs3735361,rs41513350,rs439667,rs4607417,rs7260268,rs7780008,rs7783847,rs782916,rs8063113,rs9930029
R-HSA-69481	G2/M Checkpoints	Cell Cycle	0.187108	YWHAE,HIST1H2BN,HUS1	rs16945811,rs200991,rs200995,rs201002,rs7783847
R-HSA-156584	Cytosolic sulfonation of small molecules	Metabolism	0.188637	IMPAD1	rs10958514
R-HSA-8940973	RUNX2 regulates osteoblast differentiation	Gene expression (Transcription)	0.188637	GLI3	rs3735361
R-HSA-429947	Deadenylation of mRNA	Metabolism of RNA	0.195681	PAN3	rs9554277,rs9554296
R-HSA-5609975	Diseases associated with glycosylation precursor biosynthesis	Disease	0.195681	PGM1	rs11208264,rs2269238,rs2269239,rs2269241,rs3790857,rs4643
R-HSA-8849932	Synaptic adhesion-like molecules	Neuronal System	0.195681	GRIA1	rs10035262
R-HSA-8949215	Mitochondrial calcium ion transport	Transport of small molecules	0.195681	SPG7	rs3803676,rs382745
R-HSA-9006115	Signaling by NTRK2 (TRKB)	Signal Transduction	0.195681	TIAM1	rs11700615
R-HSA-1592230	Mitochondrial biogenesis	Organelle biogenesis and maintenance	0.198937	PRKAG2,SAMM50	rs738494,rs7780008
R-HSA-193704	p75 NTR receptor-mediated signalling	Signal Transduction	0.202093	YWHAE,TIAM1	rs11700615,rs16945811
R-HSA-428157	Sphingolipid metabolism	Metabolism	0.202093	GM2A,SGMS1	rs17659728,rs2842107
R-HSA-5619084	ABC transporter disorders	Disease	0.202093	ABCA1,ABCA12	rs12686004,rs1409612
R-HSA-1187000	Fertilization	Reproduction	0.202665	OVGP1	rs1264882
R-HSA-2173788	Downregulation of TGF-beta receptor signaling	Signal Transduction	0.202665	TGFBR2	rs17025857
R-HSA-8854691	Interleukin-20 family signaling	Immune System	0.202665	STAT4	rs9967792
R-HSA-425366	Transport of bile salts and organic acids, metal ions and amine compounds	Transport of small molecules	0.205256	SLC44A3,RUNX1	rs41513350,rs859065
R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	Gene expression (Transcription)	0.205256	PRKAG2,HUS1	rs7780008,rs7783847
R-HSA-73894	DNA Repair	DNA Repair	0.206244	INO80C,HIST1H2BN,FANCL,EYA2,HUS1	rs200991,rs200995,rs201002,rs2868853,rs355334,rs3787249,rs6732505,rs7783847
R-HSA-3000170	Syndecan interactions	Extracellular matrix organization	0.209589	ITGA2	rs43188
R-HSA-5576893	Phase 2 - plateau phase	Muscle contraction	0.209589	CACNB2	rs4237348
R-HSA-8982491	Glycogen metabolism	Metabolism	0.209589	PGM1	rs11208264,rs2269238,rs2269239,rs2269241,rs3790857,rs4643
R-HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	Metabolism	0.216453	CACNB2	rs4237348
R-HSA-9619483	Activation of AMPK downstream of NMDARs	Neuronal System	0.216453	PRKAG2	rs7780008
