Alpha,Beta,Distance_to_nearest_downstream_x,Distance_to_nearest_upstream_x,Downstream_nearest_genomic_feature_x,Known_Phenotype_x,MAF_x,Overlap_x,Overlap_details_x,Overlapping_genetic_feature_name_x,Rank_x,Synonymous_x,Upstream_nearest_genomic_feature_x,id,name,order,reason to exist,count,Overlap_y,Overlap_details_y,Known_Phenotype_y,Synonymous_y,Upstream_nearest_genomic_feature_y,Downstream_nearest_genomic_feature_y,Distance_to_nearest_upstream_y,Distance_to_nearest_downstream_y,Overlapping_genetic_feature_name_y,MAF_y,Rank_y
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24,N24,1,Presentation,28,Protein_coding,Intron,None,None,Temp_Feature6,Temp_Feature17,0.117,1.16,2.6,Gene_name6,6.0
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N24,N2N24,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N40,N40,1,Presentation,15,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29N40,N29N40,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N20,N20,1,Presentation,33,Non_coding,MIR,None,Synonymous,Temp_Feature7,Temp_Feature18,0.118,1.17,2.7,Gene_name7,7.0
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29,N29,1,Presentation,31,Intergenic,Intergenic,None,Non_Synonymous,Temp_Feature11,Temp_Feature22,0.1113,1.22,2.23,Gene_name11,11.0
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N20N29,N20N29,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N15,N15,1,Presentation,11,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M1T3,M1T3,1,Presentation,44,Protein_coding,Exone,None,None,Temp_Feature3,Temp_Feature14,0.114,1.13,2.3,Gene_name3,3.0
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N15M1T3,N15M1T3,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9,N9,1,Presentation,21,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N12,N9N12,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2,N2,1,Presentation,29,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N12,N2N12,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N31,N31,1,Presentation,50,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N31,N18N31,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11,N11,1,Presentation,28,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N22,N11N22,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M2Q2,M2Q2,1,Presentation,21,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N34M2Q2,N34M2Q2,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N4,N4,1,Presentation,3,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18,N18,1,Presentation,31,Protein_coding,5_UTR,None,Non_Synonymous,Temp_Feature5,Temp_Feature16,0.116,1.15,2.5,Gene_name5,5.0
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N4N18,N4N18,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22,N22,1,Presentation,44,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N34,N34,1,Presentation,22,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N34,N22N34,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12,N12,1,Presentation,31,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M1T1,M1T1,1,Presentation,28,Protein_coding,Enhancer,None,Synonymous,Temp_Feature1,Temp_Feature12,0.112,1.11,2.1,Gene_name1,1.0
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12M1T1,N12M1T1,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M1T3M2Q3M2Q4,M1T3M2Q3M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M2Q4,M2Q4,1,Presentation,27,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M1T1M1T2M1T3,M1T1M1T2M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M0P2M1T3M2Q4,M0P2M1T3M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M0P2M1T3M2Q1,M0P2M1T3M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M0P1M0P2M1T2,M0P1M0P2M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N40M2Q3M2Q4,N40M2Q3M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N40M1T1M2Q2,N40M1T1M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N39N40M1T3,N39N40M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N38M0P1M2Q3,N38M0P1M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N38M0P1M1T2,N38M0P1M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N38M0P1M0P2,N38M0P1M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N37M0P2M1T1,N37M0P2M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N37N38M2Q3,N37N38M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N37N38M1T3,N37N38M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N36M2Q3M2Q4,N36M2Q3M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N36M2Q2M2Q3,N36M2Q2M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N36M1T1M2Q3,N36M1T1M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N36M0P2M2Q3,N36M0P2M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N36N39M2Q2,N36N39M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N36N39M0P1,N36N39M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N35M2Q2M2Q4,N35M2Q2M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N35M1T2M2Q4,N35M1T2M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N35N39M1T2,N35N39M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N35N37N40,N35N37N40,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N34N38M2Q3,N34N38M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N33M2Q1M2Q4,N33M2Q1M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N33N36M2Q3,N33N36M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N33N36N37,N33N36N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N32N35N37,N32N35N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N32,N32,1,Presentation,3,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N31M2Q3M2Q4,N31M2Q3M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N31M1T3M2Q3,N31M1T3M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N31M1T2M2Q2,N31M1T2M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N31M0P1M2Q2,N31M0P1M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N31N40M0P1,N31N40M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N31N38M1T3,N31N38M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N31N38M0P1,N31N38M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N31N35M2Q4,N31N35M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N31N35M1T1,N31N35M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N31N34M2Q2,N31N34M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N30M1T3M2Q1,N30M1T3M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N30M1T2M2Q4,N30M1T2M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N30M1T1M1T2,N30M1T1M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N30N39M0P2,N30N39M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N30N31M2Q1,N30N31M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29M2Q3M2Q4,N29M2Q3M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29M0P1M2Q4,N29M0P1M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29N40M2Q4,N29N40M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29N40M2Q3,N29N40M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29N38M2Q3,N29N38M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29N37M2Q4,N29N37M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29N37M2Q1,N29N37M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29N37N38,N29N37N38,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29N36M2Q1,N29N36M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29N35M2Q3,N29N35M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29N35N38,N29N35N38,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29N32M2Q3,N29N32M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N29N31M0P2,N29N31M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N28M2Q2M2Q3,N28M2Q2M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N28,N28,1,Presentation,12,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N28N39M1T2,N28N39M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N28N36M1T1,N28N36M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N28N34M2Q2,N28N34M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N28N31N34,N28N31N34,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N27N29N31,N27N29N31,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N27,N27,1,Presentation,2,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N26M1T1M1T2,N26M1T1M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N26M0P1M2Q1,N26M0P1M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N26N39M1T3,N26N39M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N26N34M2Q4,N26N34M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N26N31N39,N26N31N39,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N26N29M2Q3,N26N29M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N26N29M0P2,N26N29M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N26N29M0P1,N26N29M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N26N29N31,N26N29N31,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24M0P1M1T3,N24M0P1M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24M0P1M1T2,N24M0P1M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24N37M2Q2,N24N37M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24N35M1T3,N24N35M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24N34M2Q3,N24N34M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24N34M2Q2,N24N34M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24N34N37,N24N34N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24N31M1T3,N24N31M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24N31M0P2,N24N31M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24N30M0P2,N24N30M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24N30N39,N24N30N39,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22M2Q3M2Q4,N22M2Q3M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22M1T2M2Q4,N22M1T2M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22M0P2M1T2,N22M0P2M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22M0P1M1T3,N22M0P1M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22M0P1M1T1,N22M0P1M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22M0P1M0P2,N22M0P1M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N38M2Q3,N22N38M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N37M2Q3,N22N37M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N35M1T2,N22N35M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N34M1T3,N22N34M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N33M2Q4,N22N33M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N33M2Q1,N22N33M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N31N34,N22N31N34,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N30M2Q1,N22N30M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
