id,source,target,interaction,edge label,Alpha,Beta,order
N0N28M0P2,N0,N28,N0N28M0P2,N0N28M0P2,Alpha,None,3
N0N28M0P2,N28,M0P2,N0N28M0P2,N0N28M0P2,Alpha,None,3
N0N28M0P2,N0,M0P2,N0N28M0P2,N0N28M0P2,Alpha,None,3
N0N28M2Q2,N0,N28,N0N28M2Q2,N0N28M2Q2,Alpha,None,3
N0N28M2Q2,N28,M2Q2,N0N28M2Q2,N0N28M2Q2,Alpha,None,3
N0N28M2Q2,N0,M2Q2,N0N28M2Q2,N0N28M2Q2,Alpha,None,3
N0N29N33,N0,N29,N0N29N33,N0N29N33,Alpha,None,3
N0N29N33,N29,N33,N0N29N33,N0N29N33,Alpha,None,3
N0N29N33,N0,N33,N0N29N33,N0N29N33,Alpha,None,3
N0N30M0P2,N0,N30,N0N30M0P2,N0N30M0P2,Alpha,None,3
N0N30M0P2,N30,M0P2,N0N30M0P2,N0N30M0P2,Alpha,None,3
N0N30M0P2,N0,M0P2,N0N30M0P2,N0N30M0P2,Alpha,None,3
N0N31M1T3,N0,N31,N0N31M1T3,N0N31M1T3,Alpha,None,3
N0N31M1T3,N31,M1T3,N0N31M1T3,N0N31M1T3,Alpha,None,3
N0N31M1T3,N0,M1T3,N0N31M1T3,N0N31M1T3,Alpha,None,3
N0N34N39,N0,N34,N0N34N39,N0N34N39,Alpha,None,3
N0N34N39,N34,N39,N0N34N39,N0N34N39,Alpha,None,3
N0N34N39,N0,N39,N0N34N39,N0N34N39,Alpha,None,3
N0N40M1T2,N0,N40,N0N40M1T2,N0N40M1T2,Alpha,None,3
N0N40M1T2,N40,M1T2,N0N40M1T2,N0N40M1T2,Alpha,None,3
N0N40M1T2,N0,M1T2,N0N40M1T2,N0N40M1T2,Alpha,None,3
N0N40M2Q2,N0,N40,N0N40M2Q2,N0N40M2Q2,Alpha,None,3
N0N40M2Q2,N40,M2Q2,N0N40M2Q2,N0N40M2Q2,Alpha,None,3
N0N40M2Q2,N0,M2Q2,N0N40M2Q2,N0N40M2Q2,Alpha,None,3
N0M2Q2M2Q4,N0,M2Q2,N0M2Q2M2Q4,N0M2Q2M2Q4,Alpha,None,3
N0M2Q2M2Q4,M2Q2,M2Q4,N0M2Q2M2Q4,N0M2Q2M2Q4,Alpha,None,3
N0M2Q2M2Q4,N0,M2Q4,N0M2Q2M2Q4,N0M2Q2M2Q4,Alpha,None,3
N1N19N37,N1,N19,N1N19N37,N1N19N37,Alpha,None,3
N1N19N37,N19,N37,N1N19N37,N1N19N37,Alpha,None,3
N1N19N37,N1,N37,N1N19N37,N1N19N37,Alpha,None,3
N2N3N20,N2,N3,N2N3N20,N2N3N20,Alpha,None,3
N2N3N20,N3,N20,N2N3N20,N2N3N20,Alpha,None,3
N2N3N20,N2,N20,N2N3N20,N2N3N20,Alpha,None,3
N2N4M2Q2,N2,N4,N2N4M2Q2,N2N4M2Q2,Alpha,None,3
N2N4M2Q2,N4,M2Q2,N2N4M2Q2,N2N4M2Q2,Alpha,None,3
N2N4M2Q2,N2,M2Q2,N2N4M2Q2,N2N4M2Q2,Alpha,None,3
N2N9N12,N2,N9,N2N9N12,N2N9N12,Alpha,None,3
N2N9N12,N9,N12,N2N9N12,N2N9N12,Alpha,None,3
N2N9N12,N2,N12,N2N9N12,N2N9N12,Alpha,None,3
N2N11N12,N2,N11,N2N11N12,N2N11N12,Alpha,None,3
N2N11N12,N11,N12,N2N11N12,N2N11N12,Alpha,None,3
N2N11N12,N2,N12,N2N11N12,N2N11N12,Alpha,None,3
N2N11N24,N2,N11,N2N11N24,N2N11N24,Alpha,None,3
N2N11N24,N11,N24,N2N11N24,N2N11N24,Alpha,None,3
N2N11N24,N2,N24,N2N11N24,N2N11N24,Alpha,None,3
N2N12N24,N2,N12,N2N12N24,N2N12N24,Alpha,None,3
N2N12N24,N12,N24,N2N12N24,N2N12N24,Alpha,None,3
N2N12N24,N2,N24,N2N12N24,N2N12N24,Alpha,None,3
N2N12N31,N2,N12,N2N12N31,N2N12N31,Alpha,None,3
N2N12N31,N12,N31,N2N12N31,N2N12N31,Alpha,None,3
N2N12N31,N2,N31,N2N12N31,N2N12N31,Alpha,None,3
N2N12M0P1,N2,N12,N2N12M0P1,N2N12M0P1,Alpha,None,3
N2N12M0P1,N12,M0P1,N2N12M0P1,N2N12M0P1,Alpha,None,3
N2N12M0P1,N2,M0P1,N2N12M0P1,N2N12M0P1,Alpha,None,3
N2N12M1T1,N2,N12,N2N12M1T1,N2N12M1T1,Alpha,None,3
N2N12M1T1,N12,M1T1,N2N12M1T1,N2N12M1T1,Alpha,None,3
N2N12M1T1,N2,M1T1,N2N12M1T1,N2N12M1T1,Alpha,None,3
N2N16M1T2,N2,N16,N2N16M1T2,N2N16M1T2,Alpha,None,3
N2N16M1T2,N16,M1T2,N2N16M1T2,N2N16M1T2,Alpha,None,3
N2N16M1T2,N2,M1T2,N2N16M1T2,N2N16M1T2,Alpha,None,3
N2N20N22,N2,N20,N2N20N22,N2N20N22,Alpha,None,3
N2N20N22,N20,N22,N2N20N22,N2N20N22,Alpha,None,3
N2N20N22,N2,N22,N2N20N22,N2N20N22,Alpha,None,3
N2N22N24,N2,N22,N2N22N24,N2N22N24,Alpha,None,3
N2N22N24,N22,N24,N2N22N24,N2N22N24,Alpha,None,3
N2N22N24,N2,N24,N2N22N24,N2N22N24,Alpha,None,3
N2N22M0P2,N2,N22,N2N22M0P2,N2N22M0P2,Alpha,None,3
N2N22M0P2,N22,M0P2,N2N22M0P2,N2N22M0P2,Alpha,None,3
N2N22M0P2,N2,M0P2,N2N22M0P2,N2N22M0P2,Alpha,None,3
N2N24N31,N2,N24,N2N24N31,N2N24N31,Alpha,None,3
N2N24N31,N24,N31,N2N24N31,N2N24N31,Alpha,None,3
N2N24N31,N2,N31,N2N24N31,N2N24N31,Alpha,None,3
N2N24M1T1,N2,N24,N2N24M1T1,N2N24M1T1,Alpha,None,3
N2N24M1T1,N24,M1T1,N2N24M1T1,N2N24M1T1,Alpha,None,3
N2N24M1T1,N2,M1T1,N2N24M1T1,N2N24M1T1,Alpha,None,3
N2N24M1T3,N2,N24,N2N24M1T3,N2N24M1T3,Alpha,None,3
N2N24M1T3,N24,M1T3,N2N24M1T3,N2N24M1T3,Alpha,None,3
N2N24M1T3,N2,M1T3,N2N24M1T3,N2N24M1T3,Alpha,None,3
N2N27M0P1,N2,N27,N2N27M0P1,N2N27M0P1,Alpha,None,3
N2N27M0P1,N27,M0P1,N2N27M0P1,N2N27M0P1,Alpha,None,3
N2N27M0P1,N2,M0P1,N2N27M0P1,N2N27M0P1,Alpha,None,3
N2N30M0P2,N2,N30,N2N30M0P2,N2N30M0P2,Alpha,None,3
N2N30M0P2,N30,M0P2,N2N30M0P2,N2N30M0P2,Alpha,None,3
N2N30M0P2,N2,M0P2,N2N30M0P2,N2N30M0P2,Alpha,None,3
N2N31N36,N2,N31,N2N31N36,N2N31N36,Alpha,None,3
N2N31N36,N31,N36,N2N31N36,N2N31N36,Alpha,None,3
N2N31N36,N2,N36,N2N31N36,N2N31N36,Alpha,None,3
N2N32M2Q3,N2,N32,N2N32M2Q3,N2N32M2Q3,Alpha,None,3
N2N32M2Q3,N32,M2Q3,N2N32M2Q3,N2N32M2Q3,Alpha,None,3
N2N32M2Q3,N2,M2Q3,N2N32M2Q3,N2N32M2Q3,Alpha,None,3
N2N33N37,N2,N33,N2N33N37,N2N33N37,Alpha,None,3
N2N33N37,N33,N37,N2N33N37,N2N33N37,Alpha,None,3
N2N33N37,N2,N37,N2N33N37,N2N33N37,Alpha,None,3
N2N33M1T1,N2,N33,N2N33M1T1,N2N33M1T1,Alpha,None,3
N2N33M1T1,N33,M1T1,N2N33M1T1,N2N33M1T1,Alpha,None,3
N2N33M1T1,N2,M1T1,N2N33M1T1,N2N33M1T1,Alpha,None,3
N2N36M2Q1,N2,N36,N2N36M2Q1,N2N36M2Q1,Alpha,None,3
N2N36M2Q1,N36,M2Q1,N2N36M2Q1,N2N36M2Q1,Alpha,None,3
N2N36M2Q1,N2,M2Q1,N2N36M2Q1,N2N36M2Q1,Alpha,None,3
N2M0P1M2Q1,N2,M0P1,N2M0P1M2Q1,N2M0P1M2Q1,Alpha,None,3
N2M0P1M2Q1,M0P1,M2Q1,N2M0P1M2Q1,N2M0P1M2Q1,Alpha,None,3
N2M0P1M2Q1,N2,M2Q1,N2M0P1M2Q1,N2M0P1M2Q1,Alpha,None,3
N2M0P1M2Q3,N2,M0P1,N2M0P1M2Q3,N2M0P1M2Q3,Alpha,None,3
N2M0P1M2Q3,M0P1,M2Q3,N2M0P1M2Q3,N2M0P1M2Q3,Alpha,None,3
N2M0P1M2Q3,N2,M2Q3,N2M0P1M2Q3,N2M0P1M2Q3,Alpha,None,3
N2M1T1M2Q2,N2,M1T1,N2M1T1M2Q2,N2M1T1M2Q2,Alpha,None,3
N2M1T1M2Q2,M1T1,M2Q2,N2M1T1M2Q2,N2M1T1M2Q2,Alpha,None,3
N2M1T1M2Q2,N2,M2Q2,N2M1T1M2Q2,N2M1T1M2Q2,Alpha,None,3
N3N9N36,N3,N9,N3N9N36,N3N9N36,Alpha,None,3
N3N9N36,N9,N36,N3N9N36,N3N9N36,Alpha,None,3
N3N9N36,N3,N36,N3N9N36,N3N9N36,Alpha,None,3
N3N9N37,N3,N9,N3N9N37,N3N9N37,Alpha,None,3
N3N9N37,N9,N37,N3N9N37,N3N9N37,Alpha,None,3
N3N9N37,N3,N37,N3N9N37,N3N9N37,Alpha,None,3
N3N9N39,N3,N9,N3N9N39,N3N9N39,Alpha,None,3
N3N9N39,N9,N39,N3N9N39,N3N9N39,Alpha,None,3
N3N9N39,N3,N39,N3N9N39,N3N9N39,Alpha,None,3
N3N9M1T1,N3,N9,N3N9M1T1,N3N9M1T1,Alpha,None,3
N3N9M1T1,N9,M1T1,N3N9M1T1,N3N9M1T1,Alpha,None,3
N3N9M1T1,N3,M1T1,N3N9M1T1,N3N9M1T1,Alpha,None,3
N3N15M1T3,N3,N15,N3N15M1T3,N3N15M1T3,Alpha,None,3
N3N15M1T3,N15,M1T3,N3N15M1T3,N3N15M1T3,Alpha,None,3
N3N15M1T3,N3,M1T3,N3N15M1T3,N3N15M1T3,Alpha,None,3
N3N19M0P2,N3,N19,N3N19M0P2,N3N19M0P2,Alpha,None,3
N3N19M0P2,N19,M0P2,N3N19M0P2,N3N19M0P2,Alpha,None,3
N3N19M0P2,N3,M0P2,N3N19M0P2,N3N19M0P2,Alpha,None,3
N3N31M1T3,N3,N31,N3N31M1T3,N3N31M1T3,Alpha,None,3
N3N31M1T3,N31,M1T3,N3N31M1T3,N3N31M1T3,Alpha,None,3
N3N31M1T3,N3,M1T3,N3N31M1T3,N3N31M1T3,Alpha,None,3
N3N35N37,N3,N35,N3N35N37,N3N35N37,Alpha,None,3
N3N35N37,N35,N37,N3N35N37,N3N35N37,Alpha,None,3
N3N35N37,N3,N37,N3N35N37,N3N35N37,Alpha,None,3
N3N37M1T1,N3,N37,N3N37M1T1,N3N37M1T1,Alpha,None,3
N3N37M1T1,N37,M1T1,N3N37M1T1,N3N37M1T1,Alpha,None,3
N3N37M1T1,N3,M1T1,N3N37M1T1,N3N37M1T1,Alpha,None,3
N3N37M2Q1,N3,N37,N3N37M2Q1,N3N37M2Q1,Alpha,None,3
N3N37M2Q1,N37,M2Q1,N3N37M2Q1,N3N37M2Q1,Alpha,None,3
N3N37M2Q1,N3,M2Q1,N3N37M2Q1,N3N37M2Q1,Alpha,None,3
N3M1T1M1T3,N3,M1T1,N3M1T1M1T3,N3M1T1M1T3,Alpha,None,3
N3M1T1M1T3,M1T1,M1T3,N3M1T1M1T3,N3M1T1M1T3,Alpha,None,3
N3M1T1M1T3,N3,M1T3,N3M1T1M1T3,N3M1T1M1T3,Alpha,None,3
N3M1T2M1T3,N3,M1T2,N3M1T2M1T3,N3M1T2M1T3,Alpha,None,3
N3M1T2M1T3,M1T2,M1T3,N3M1T2M1T3,N3M1T2M1T3,Alpha,None,3
N3M1T2M1T3,N3,M1T3,N3M1T2M1T3,N3M1T2M1T3,Alpha,None,3
N4N35M2Q4,N4,N35,N4N35M2Q4,N4N35M2Q4,Alpha,None,3
N4N35M2Q4,N35,M2Q4,N4N35M2Q4,N4N35M2Q4,Alpha,None,3
N4N35M2Q4,N4,M2Q4,N4N35M2Q4,N4N35M2Q4,Alpha,None,3
N6N7M2Q1,N6,N7,N6N7M2Q1,N6N7M2Q1,Alpha,None,3
N6N7M2Q1,N7,M2Q1,N6N7M2Q1,N6N7M2Q1,Alpha,None,3
N6N7M2Q1,N6,M2Q1,N6N7M2Q1,N6N7M2Q1,Alpha,None,3
N6N10N40,N6,N10,N6N10N40,N6N10N40,Alpha,None,3
N6N10N40,N10,N40,N6N10N40,N6N10N40,Alpha,None,3
N6N10N40,N6,N40,N6N10N40,N6N10N40,Alpha,None,3
N6N11N18,N6,N11,N6N11N18,N6N11N18,Alpha,None,3
N6N11N18,N11,N18,N6N11N18,N6N11N18,Alpha,None,3
N6N11N18,N6,N18,N6N11N18,N6N11N18,Alpha,None,3
N6N11N22,N6,N11,N6N11N22,N6N11N22,Alpha,None,3
N6N11N22,N11,N22,N6N11N22,N6N11N22,Alpha,None,3
N6N11N22,N6,N22,N6N11N22,N6N11N22,Alpha,None,3
N6N12N34,N6,N12,N6N12N34,N6N12N34,Alpha,None,3
N6N12N34,N12,N34,N6N12N34,N6N12N34,Alpha,None,3
N6N12N34,N6,N34,N6N12N34,N6N12N34,Alpha,None,3
N6N19N31,N6,N19,N6N19N31,N6N19N31,Alpha,None,3
N6N19N31,N19,N31,N6N19N31,N6N19N31,Alpha,None,3
N6N19N31,N6,N31,N6N19N31,N6N19N31,Alpha,None,3
N6N20N31,N6,N20,N6N20N31,N6N20N31,Alpha,None,3
N6N20N31,N20,N31,N6N20N31,N6N20N31,Alpha,None,3
N6N20N31,N6,N31,N6N20N31,N6N20N31,Alpha,None,3
N6N20N34,N6,N20,N6N20N34,N6N20N34,Alpha,None,3
N6N20N34,N20,N34,N6N20N34,N6N20N34,Alpha,None,3
N6N20N34,N6,N34,N6N20N34,N6N20N34,Alpha,None,3
N6N20M2Q1,N6,N20,N6N20M2Q1,N6N20M2Q1,Alpha,None,3
N6N20M2Q1,N20,M2Q1,N6N20M2Q1,N6N20M2Q1,Alpha,None,3
N6N20M2Q1,N6,M2Q1,N6N20M2Q1,N6N20M2Q1,Alpha,None,3
N6N26N28,N6,N26,N6N26N28,N6N26N28,Alpha,None,3
N6N26N28,N26,N28,N6N26N28,N6N26N28,Alpha,None,3
N6N26N28,N6,N28,N6N26N28,N6N26N28,Alpha,None,3
N6N31M2Q1,N6,N31,N6N31M2Q1,N6N31M2Q1,Alpha,None,3
N6N31M2Q1,N31,M2Q1,N6N31M2Q1,N6N31M2Q1,Alpha,None,3
N6N31M2Q1,N6,M2Q1,N6N31M2Q1,N6N31M2Q1,Alpha,None,3
N6N34N38,N6,N34,N6N34N38,N6N34N38,Alpha,None,3
N6N34N38,N34,N38,N6N34N38,N6N34N38,Alpha,None,3
N6N34N38,N6,N38,N6N34N38,N6N34N38,Alpha,None,3
N6N34M2Q1,N6,N34,N6N34M2Q1,N6N34M2Q1,Alpha,None,3
N6N34M2Q1,N34,M2Q1,N6N34M2Q1,N6N34M2Q1,Alpha,None,3
N6N34M2Q1,N6,M2Q1,N6N34M2Q1,N6N34M2Q1,Alpha,None,3
N6N34M2Q2,N6,N34,N6N34M2Q2,N6N34M2Q2,Alpha,None,3
N6N34M2Q2,N34,M2Q2,N6N34M2Q2,N6N34M2Q2,Alpha,None,3
N6N34M2Q2,N6,M2Q2,N6N34M2Q2,N6N34M2Q2,Alpha,None,3
N6N40M1T1,N6,N40,N6N40M1T1,N6N40M1T1,Alpha,None,3
N6N40M1T1,N40,M1T1,N6N40M1T1,N6N40M1T1,Alpha,None,3
N6N40M1T1,N6,M1T1,N6N40M1T1,N6N40M1T1,Alpha,None,3
N6M0P1M1T1,N6,M0P1,N6M0P1M1T1,N6M0P1M1T1,Alpha,None,3
N6M0P1M1T1,M0P1,M1T1,N6M0P1M1T1,N6M0P1M1T1,Alpha,None,3
N6M0P1M1T1,N6,M1T1,N6M0P1M1T1,N6M0P1M1T1,Alpha,None,3
N7N18N35,N7,N18,N7N18N35,N7N18N35,Alpha,None,3
N7N18N35,N18,N35,N7N18N35,N7N18N35,Alpha,None,3
N7N18N35,N7,N35,N7N18N35,N7N18N35,Alpha,None,3
N7N18M1T3,N7,N18,N7N18M1T3,N7N18M1T3,Alpha,None,3
N7N18M1T3,N18,M1T3,N7N18M1T3,N7N18M1T3,Alpha,None,3
N7N18M1T3,N7,M1T3,N7N18M1T3,N7N18M1T3,Alpha,None,3
N7N20N29,N7,N20,N7N20N29,N7N20N29,Alpha,None,3
N7N20N29,N20,N29,N7N20N29,N7N20N29,Alpha,None,3
N7N20N29,N7,N29,N7N20N29,N7N20N29,Alpha,None,3
N7N20N35,N7,N20,N7N20N35,N7N20N35,Alpha,None,3
N7N20N35,N20,N35,N7N20N35,N7N20N35,Alpha,None,3
N7N20N35,N7,N35,N7N20N35,N7N20N35,Alpha,None,3
N7N22M2Q4,N7,N22,N7N22M2Q4,N7N22M2Q4,Alpha,None,3
N7N22M2Q4,N22,M2Q4,N7N22M2Q4,N7N22M2Q4,Alpha,None,3
N7N22M2Q4,N7,M2Q4,N7N22M2Q4,N7N22M2Q4,Alpha,None,3
N7N30N36,N7,N30,N7N30N36,N7N30N36,Alpha,None,3
N7N30N36,N30,N36,N7N30N36,N7N30N36,Alpha,None,3
N7N30N36,N7,N36,N7N30N36,N7N30N36,Alpha,None,3
N7N31N36,N7,N31,N7N31N36,N7N31N36,Alpha,None,3
N7N31N36,N31,N36,N7N31N36,N7N31N36,Alpha,None,3
N7N31N36,N7,N36,N7N31N36,N7N31N36,Alpha,None,3
N7N31M1T3,N7,N31,N7N31M1T3,N7N31M1T3,Alpha,None,3
N7N31M1T3,N31,M1T3,N7N31M1T3,N7N31M1T3,Alpha,None,3
N7N31M1T3,N7,M1T3,N7N31M1T3,N7N31M1T3,Alpha,None,3
N7N31M2Q3,N7,N31,N7N31M2Q3,N7N31M2Q3,Alpha,None,3
N7N31M2Q3,N31,M2Q3,N7N31M2Q3,N7N31M2Q3,Alpha,None,3
N7N31M2Q3,N7,M2Q3,N7N31M2Q3,N7N31M2Q3,Alpha,None,3
N7N36M2Q3,N7,N36,N7N36M2Q3,N7N36M2Q3,Alpha,None,3
N7N36M2Q3,N36,M2Q3,N7N36M2Q3,N7N36M2Q3,Alpha,None,3
N7N36M2Q3,N7,M2Q3,N7N36M2Q3,N7N36M2Q3,Alpha,None,3
N8N24N39,N8,N24,N8N24N39,N8N24N39,Alpha,None,3
N8N24N39,N24,N39,N8N24N39,N8N24N39,Alpha,None,3
N8N24N39,N8,N39,N8N24N39,N8N24N39,Alpha,None,3
N8N30M2Q4,N8,N30,N8N30M2Q4,N8N30M2Q4,Alpha,None,3
N8N30M2Q4,N30,M2Q4,N8N30M2Q4,N8N30M2Q4,Alpha,None,3
N8N30M2Q4,N8,M2Q4,N8N30M2Q4,N8N30M2Q4,Alpha,None,3
N9N10M1T3,N9,N10,N9N10M1T3,N9N10M1T3,Alpha,None,3
N9N10M1T3,N10,M1T3,N9N10M1T3,N9N10M1T3,Alpha,None,3
N9N10M1T3,N9,M1T3,N9N10M1T3,N9N10M1T3,Alpha,None,3
N9N11N12,N9,N11,N9N11N12,N9N11N12,Alpha,None,3
N9N11N12,N11,N12,N9N11N12,N9N11N12,Alpha,None,3
N9N11N12,N9,N12,N9N11N12,N9N11N12,Alpha,None,3
N9N12N18,N9,N12,N9N12N18,N9N12N18,Alpha,None,3
N9N12N18,N12,N18,N9N12N18,N9N12N18,Alpha,None,3
N9N12N18,N9,N18,N9N12N18,N9N12N18,Alpha,None,3
N9N12N20,N9,N12,N9N12N20,N9N12N20,Alpha,None,3
N9N12N20,N12,N20,N9N12N20,N9N12N20,Alpha,None,3
N9N12N20,N9,N20,N9N12N20,N9N12N20,Alpha,None,3
N9N12M1T1,N9,N12,N9N12M1T1,N9N12M1T1,Alpha,None,3
N9N12M1T1,N12,M1T1,N9N12M1T1,N9N12M1T1,Alpha,None,3
N9N12M1T1,N9,M1T1,N9N12M1T1,N9N12M1T1,Alpha,None,3
N9N12M2Q1,N9,N12,N9N12M2Q1,N9N12M2Q1,Alpha,None,3
N9N12M2Q1,N12,M2Q1,N9N12M2Q1,N9N12M2Q1,Alpha,None,3
N9N12M2Q1,N9,M2Q1,N9N12M2Q1,N9N12M2Q1,Alpha,None,3
N9N15M0P1,N9,N15,N9N15M0P1,N9N15M0P1,Alpha,None,3
N9N15M0P1,N15,M0P1,N9N15M0P1,N9N15M0P1,Alpha,None,3
N9N15M0P1,N9,M0P1,N9N15M0P1,N9N15M0P1,Alpha,None,3
N9N15M2Q1,N9,N15,N9N15M2Q1,N9N15M2Q1,Alpha,None,3
N9N15M2Q1,N15,M2Q1,N9N15M2Q1,N9N15M2Q1,Alpha,None,3
N9N15M2Q1,N9,M2Q1,N9N15M2Q1,N9N15M2Q1,Alpha,None,3
N9N20N39,N9,N20,N9N20N39,N9N20N39,Alpha,None,3
N9N20N39,N20,N39,N9N20N39,N9N20N39,Alpha,None,3
N9N20N39,N9,N39,N9N20N39,N9N20N39,Alpha,None,3
N9N36M1T2,N9,N36,N9N36M1T2,N9N36M1T2,Alpha,None,3
N9N36M1T2,N36,M1T2,N9N36M1T2,N9N36M1T2,Alpha,None,3
N9N36M1T2,N9,M1T2,N9N36M1T2,N9N36M1T2,Alpha,None,3
N9N37M2Q1,N9,N37,N9N37M2Q1,N9N37M2Q1,Alpha,None,3
N9N37M2Q1,N37,M2Q1,N9N37M2Q1,N9N37M2Q1,Alpha,None,3
N9N37M2Q1,N9,M2Q1,N9N37M2Q1,N9N37M2Q1,Alpha,None,3
N9N38M0P1,N9,N38,N9N38M0P1,N9N38M0P1,Alpha,None,3
N9N38M0P1,N38,M0P1,N9N38M0P1,N9N38M0P1,Alpha,None,3
N9N38M0P1,N9,M0P1,N9N38M0P1,N9N38M0P1,Alpha,None,3
N9N38M2Q1,N9,N38,N9N38M2Q1,N9N38M2Q1,Alpha,None,3
N9N38M2Q1,N38,M2Q1,N9N38M2Q1,N9N38M2Q1,Alpha,None,3
N9N38M2Q1,N9,M2Q1,N9N38M2Q1,N9N38M2Q1,Alpha,None,3
N9M1T1M2Q3,N9,M1T1,N9M1T1M2Q3,N9M1T1M2Q3,Alpha,None,3
N9M1T1M2Q3,M1T1,M2Q3,N9M1T1M2Q3,N9M1T1M2Q3,Alpha,None,3
N9M1T1M2Q3,N9,M2Q3,N9M1T1M2Q3,N9M1T1M2Q3,Alpha,None,3
N10N13N19,N10,N13,N10N13N19,N10N13N19,Alpha,None,3
N10N13N19,N13,N19,N10N13N19,N10N13N19,Alpha,None,3
N10N13N19,N10,N19,N10N13N19,N10N13N19,Alpha,None,3
N10N13N35,N10,N13,N10N13N35,N10N13N35,Alpha,None,3
N10N13N35,N13,N35,N10N13N35,N10N13N35,Alpha,None,3
N10N13N35,N10,N35,N10N13N35,N10N13N35,Alpha,None,3
N10N18N38,N10,N18,N10N18N38,N10N18N38,Alpha,None,3
N10N18N38,N18,N38,N10N18N38,N10N18N38,Alpha,None,3
N10N18N38,N10,N38,N10N18N38,N10N18N38,Alpha,None,3
N10N18M1T2,N10,N18,N10N18M1T2,N10N18M1T2,Alpha,None,3
N10N18M1T2,N18,M1T2,N10N18M1T2,N10N18M1T2,Alpha,None,3
N10N18M1T2,N10,M1T2,N10N18M1T2,N10N18M1T2,Alpha,None,3
N10N19N36,N10,N19,N10N19N36,N10N19N36,Alpha,None,3
N10N19N36,N19,N36,N10N19N36,N10N19N36,Alpha,None,3
N10N19N36,N10,N36,N10N19N36,N10N19N36,Alpha,None,3
N10N22M1T2,N10,N22,N10N22M1T2,N10N22M1T2,Alpha,None,3
N10N22M1T2,N22,M1T2,N10N22M1T2,N10N22M1T2,Alpha,None,3
N10N22M1T2,N10,M1T2,N10N22M1T2,N10N22M1T2,Alpha,None,3
N10N29N31,N10,N29,N10N29N31,N10N29N31,Alpha,None,3
N10N29N31,N29,N31,N10N29N31,N10N29N31,Alpha,None,3
N10N29N31,N10,N31,N10N29N31,N10N29N31,Alpha,None,3
N10N29N37,N10,N29,N10N29N37,N10N29N37,Alpha,None,3
N10N29N37,N29,N37,N10N29N37,N10N29N37,Alpha,None,3
N10N29N37,N10,N37,N10N29N37,N10N29N37,Alpha,None,3
N10N29M1T2,N10,N29,N10N29M1T2,N10N29M1T2,Alpha,None,3
N10N29M1T2,N29,M1T2,N10N29M1T2,N10N29M1T2,Alpha,None,3
N10N29M1T2,N10,M1T2,N10N29M1T2,N10N29M1T2,Alpha,None,3
N10M0P2M1T3,N10,M0P2,N10M0P2M1T3,N10M0P2M1T3,Alpha,None,3
N10M0P2M1T3,M0P2,M1T3,N10M0P2M1T3,N10M0P2M1T3,Alpha,None,3
N10M0P2M1T3,N10,M1T3,N10M0P2M1T3,N10M0P2M1T3,Alpha,None,3
N10M0P2M2Q4,N10,M0P2,N10M0P2M2Q4,N10M0P2M2Q4,Alpha,None,3
N10M0P2M2Q4,M0P2,M2Q4,N10M0P2M2Q4,N10M0P2M2Q4,Alpha,None,3
N10M0P2M2Q4,N10,M2Q4,N10M0P2M2Q4,N10M0P2M2Q4,Alpha,None,3
N10M1T1M1T3,N10,M1T1,N10M1T1M1T3,N10M1T1M1T3,Alpha,None,3
N10M1T1M1T3,M1T1,M1T3,N10M1T1M1T3,N10M1T1M1T3,Alpha,None,3
